jahr;ort;bfsnr;rubrik;thema;wert;einheit
2019;Effretikon (Mannenberg);296;ARA;Wärme;1324;MWh
2019;Egg (Oetwil Esslingen);192;ARA;Wärme;715;MWh
2019;Fehraltorf (Russikon);172;ARA;Wärme;100;MWh
2019;Gossau (Grüningen);115;ARA;Wärme;300;MWh
2019;Horgen (Oberrieden);295;ARA;Wärme;2039;MWh
2019;Knonau;7;ARA;Wärme;270;MWh
2019;Küsnacht (Erlenbach);154;ARA;Wärme;1500;MWh
2019;Meilen;156;ARA;Wärme;953;MWh
2019;Männedorf (Bluemax);155;ARA;Wärme;937;MWh
2019;Mönchaltorf;196;ARA;Wärme;683;MWh
2019;Regensdorf (Wüeri);96;ARA;Wärme;1470;MWh
2019;Thalwil;141;ARA;Wärme;2071;MWh
2019;Uster;198;ARA;Wärme;2745;MWh
2019;Winterthur (Hard);230;ARA;Wärme;400;MWh
2019;Wädenswil (Rietliau);293;ARA;Wärme;700;MWh
2019;Zürich (Werdhölzli);261;ARA;Wärme;46754;MWh
2020;Adliswil (Grütpark);131;ARA;Wärme;1123;MWh
2020;Bassersdorf (Eich);52;ARA;Wärme;1186;MWh
2020;Bülach;53;ARA;Wärme;700;MWh
2020;Dietikon (Limmatfeld);243;ARA;Wärme;6172;MWh
2020;Dübendorf (Neugut);191;ARA;Wärme;7800;MWh
2020;Effretikon (Mannenberg);296;ARA;Wärme;1399;MWh
2020;Egg (Oetwil Esslingen);192;ARA;Wärme;715;MWh
2020;Fehraltorf (Russikon);172;ARA;Wärme;100;MWh
2020;Gossau (Grüningen);115;ARA;Wärme;300;MWh
2020;Horgen (Oberrieden);295;ARA;Wärme;2917;MWh
2020;Knonau;7;ARA;Wärme;270;MWh
2020;Küsnacht (Erlenbach);154;ARA;Wärme;1500;MWh
2020;Meilen;156;ARA;Wärme;928;MWh
2020;Männedorf (Bluemax);155;ARA;Wärme;952;MWh
2020;Mönchaltorf;196;ARA;Wärme;689;MWh
2020;Regensdorf (Wüeri);96;ARA;Wärme;1601;MWh
2020;Thalwil;141;ARA;Wärme;2002;MWh
2020;Uster;198;ARA;Wärme;4152;MWh
2020;Winterthur (Hard);230;ARA;Wärme;400;MWh
2020;Wädenswil (Rietliau);293;ARA;Wärme;700;MWh
2020;Zürich (Werdhölzli);261;ARA;Wärme;49565;MWh
2021;Adliswil (Grütpark);131;ARA;Wärme;1234;MWh
2021;Bassersdorf (Eich);52;ARA;Wärme;2309;MWh
2021;Bülach;53;ARA;Wärme;700;MWh
2021;Dietikon (Limmatfeld);243;ARA;Wärme;6172;MWh
2021;Dübendorf (Neugut);191;ARA;Wärme;7800;MWh
2021;Effretikon (Mannenberg);296;ARA;Wärme;1614;MWh
2021;Egg (Oetwil Esslingen);192;ARA;Wärme;715;MWh
2021;Fehraltorf (Russikon);172;ARA;Wärme;100;MWh
2021;Gossau (Grüningen);115;ARA;Wärme;300;MWh
2021;Horgen (Oberrieden);295;ARA;Wärme;2037;MWh
