jahr;anlage;ort;bfsnr;rubrik;thema;wert;einheit;betrieb
2017;k0116;Flurlingen;29;Oberflächengewässer;Wärme;8;kW;Ja
2017;k0127;Andelfingen;291;Oberflächengewässer;Wärme;8;kW;Ja
2017;k0219;Flaach;28;Oberflächengewässer;Wärme;54;kW;Ja
2017;l0152;Hochfelden;59;Oberflächengewässer;Wärme;0;kW;Ja
2017;l0184;Eglisau;55;Oberflächengewässer;Wärme;80.6;kW;Ja
2017;l0204;Opfikon;66;Oberflächengewässer;Wärme;93;kW;Ja
2017;l0211;Glattfelden;58;Oberflächengewässer;Wärme;490;kW;Ja
2017;n0134;Dietikon;243;Oberflächengewässer;Wärme;630;kW;Ja
2017;n0135;Dietikon;243;Oberflächengewässer;Wärme;360;kW;Ja
2018;b0098;Zürich;261;Oberflächengewässer;Wärme;533;kW;Ja
2018;b0102;Zürich;261;Oberflächengewässer;Wärme;274;kW;Ja
2018;b0116;Zürich;261;Oberflächengewässer;Wärme;100;kW;Ja
2018;b0118;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2018;b0119;Zürich;261;Oberflächengewässer;Wärme;346;kW;Ja
2018;b0131;Zürich;261;Oberflächengewässer;Wärme;42;kW;Ja
2018;b0138;Zürich;261;Oberflächengewässer;Wärme;88;kW;Ja
2018;b0143;Zürich;261;Oberflächengewässer;Wärme;225;kW;Ja
2018;b0150;Zürich;261;Oberflächengewässer;Wärme;660;kW;Ja
2018;b0152;Zürich;261;Oberflächengewässer;Wärme;186.4;kW;Ja
2018;b0163;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2018;b0174;Zürich;261;Oberflächengewässer;Wärme;250;kW;Ja
2018;b0182;Zürich;261;Oberflächengewässer;Wärme;18.5;kW;Ja
2018;b0186;Zürich;261;Oberflächengewässer;Wärme;123;kW;Ja
2018;b0187;Zürich;261;Oberflächengewässer;Wärme;204;kW;Ja
2018;b0192;Zürich;261;Oberflächengewässer;Wärme;2818.6;kW;Ja
2018;b0193;Zürich;261;Oberflächengewässer;Wärme;600;kW;Ja
2018;b0194;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2018;b0195;Zürich;261;Oberflächengewässer;Wärme;355;kW;Ja
2018;b0196;Zürich;261;Oberflächengewässer;Wärme;70;kW;Ja
2018;b0197;Zürich;261;Oberflächengewässer;Wärme;41;kW;Ja
2018;b0202;Zürich;261;Oberflächengewässer;Wärme;1028.5;kW;Ja
2018;b0207;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2018;b0208;Zürich;261;Oberflächengewässer;Wärme;1403.3;kW;Ja
2018;b0209;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2018;b0210;Zürich;261;Oberflächengewässer;Wärme;120;kW;Ja
2018;b0223;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2018;b0729;Zürich;261;Oberflächengewässer;Wärme;2382;kW;Ja
2018;b0741;Zürich;261;Oberflächengewässer;Wärme;0;kW;Nein
2018;d0117;Wädenswil;293;Oberflächengewässer;Wärme;0;kW;Ja
2018;d0130;Horgen;295;Oberflächengewässer;Wärme;616;kW;Ja
2018;d0140;Wädenswil;293;Oberflächengewässer;Wärme;0;kW;Ja
2018;d0153;Kilchberg (ZH);135;Oberflächengewässer;Wärme;0;kW;Ja
2018;d0197;Horgen;295;Oberflächengewässer;Wärme;48;kW;Ja
2018;d0217;Wädenswil;293;Oberflächengewässer;Wärme;10.5;kW;Ja
2018;d0221;Rüschlikon;139;Oberflächengewässer;Wärme;5.7;kW;Ja
2018;d0225;Wädenswil;293;Oberflächengewässer;Wärme;450;kW;Ja
2018;d0226;Kilchberg (ZH);135;Oberflächengewässer;Wärme;280;kW;Ja
2018;d0230;Thalwil;141;Oberflächengewässer;Wärme;372;kW;Ja
2018;d0234;Wädenswil;293;Oberflächengewässer;Wärme;125;kW;Ja
2018;d0236;Horgen;295;Oberflächengewässer;Wärme;604;kW;Ja
2018;d0239;Horgen;295;Oberflächengewässer;Wärme;334;kW;Ja
2018;d0241;Horgen;295;Oberflächengewässer;Wärme;280;kW;Ja
2018;d0246;Horgen;295;Oberflächengewässer;Wärme;0;kW;ja
2018;d0287;Wädenswil;293;Oberflächengewässer;Wärme;30;kW;Ja
2018;d0288;Wädenswil;293;Oberflächengewässer;Wärme;28;kW;Ja
2018;e0100;Küsnacht (ZH);154;Oberflächengewässer;Wärme;545;kW;Ja
2018;e0123;Uetikon am See;159;Oberflächengewässer;Wärme;0;kW;Ja
2018;e0132;Meilen;156;Oberflächengewässer;Wärme;0;kW;Ja
2018;e0141;Stäfa;158;Oberflächengewässer;Wärme;23;kW;Ja
2018;e0143;Zollikon;161;Oberflächengewässer;Wärme;37;kW;Ja
2018;e0163;Männedorf;155;Oberflächengewässer;Wärme;26;kW;Ja
2018;e0165;Meilen;156;Oberflächengewässer;Wärme;130;kW;Ja
2018;e0170;Männedorf;155;Oberflächengewässer;Wärme;25;kW;Ja
2018;e0172;Stäfa;158;Oberflächengewässer;Wärme;0;kW;Ja
2018;e0174;Meilen;156;Oberflächengewässer;Wärme;105;kW;Ja
2018;e0187;Küsnacht (ZH);154;Oberflächengewässer;Wärme;136;kW;Ja
2018;e0192;Männedorf;155;Oberflächengewässer;Wärme;500;kW;Ja
2018;e0193;Männedorf;155;Oberflächengewässer;Wärme;208;kW;Ja
2018;e0194;Meilen;156;Oberflächengewässer;Wärme;67;kW;Ja
2018;e0201;Meilen;156;Oberflächengewässer;Wärme;227;kW;Ja
2018;g0096;Dübendorf;191;Oberflächengewässer;Wärme;0;kW;Ja
2018;g0128;Dübendorf;191;Oberflächengewässer;Wärme;250;kW;Ja
2018;g0139;Dübendorf;191;Oberflächengewässer;Wärme;573;kW;Ja
2018;h0160;Pfäffikon;177;Oberflächengewässer;Wärme;279;kW;Ja
2018;h0165;Pfäffikon;177;Oberflächengewässer;Wärme;230;kW;Ja
2018;h0166;Pfäffikon;177;Oberflächengewässer;Wärme;187.2;kW;Ja
2018;h0167;Pfäffikon;177;Oberflächengewässer;Wärme;680;kW;Ja
2018;h0352;Pfäffikon;177;Oberflächengewässer;Wärme;0;kW;Ja
2018;k0087;Rheinau;38;Oberflächengewässer;Wärme;0;kW;Ja
2018;k0116;Flurlingen;29;Oberflächengewässer;Wärme;8;kW;Ja
2018;k0127;Andelfingen;291;Oberflächengewässer;Wärme;8;kW;Ja
2018;k0219;Flaach;28;Oberflächengewässer;Wärme;54;kW;Ja
2018;l0152;Hochfelden;59;Oberflächengewässer;Wärme;0;kW;Ja
2018;l0184;Eglisau;55;Oberflächengewässer;Wärme;80.6;kW;Ja
2018;l0204;Opfikon;66;Oberflächengewässer;Wärme;93;kW;Ja
2018;l0211;Glattfelden;58;Oberflächengewässer;Wärme;490;kW;Ja
2018;n0134;Dietikon;243;Oberflächengewässer;Wärme;630;kW;Ja
2018;n0135;Dietikon;243;Oberflächengewässer;Wärme;360;kW;Ja
2019;b0098;Zürich;261;Oberflächengewässer;Wärme;533;kW;Ja
2019;b0102;Zürich;261;Oberflächengewässer;Wärme;274;kW;Ja
2019;b0116;Zürich;261;Oberflächengewässer;Wärme;100;kW;Ja
2019;b0118;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2019;b0119;Zürich;261;Oberflächengewässer;Wärme;346;kW;Ja
2019;b0131;Zürich;261;Oberflächengewässer;Wärme;42;kW;Ja
2019;b0138;Zürich;261;Oberflächengewässer;Wärme;88;kW;Ja
2019;b0143;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2019;b0150;Zürich;261;Oberflächengewässer;Wärme;795;kW;Nein
2019;b0152;Zürich;261;Oberflächengewässer;Wärme;221.3;kW;Ja
2019;b0163;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2019;b0174;Zürich;261;Oberflächengewässer;Wärme;250;kW;Ja
2019;b0182;Zürich;261;Oberflächengewässer;Wärme;18.5;kW;Ja
2019;b0186;Zürich;261;Oberflächengewässer;Wärme;123;kW;Ja
2019;b0187;Zürich;261;Oberflächengewässer;Wärme;204;kW;Ja
2019;b0192;Zürich;261;Oberflächengewässer;Wärme;3462;kW;Ja
2019;b0193;Zürich;261;Oberflächengewässer;Wärme;600;kW;Ja
2019;b0194;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2019;b0195;Zürich;261;Oberflächengewässer;Wärme;355;kW;Ja
2019;b0196;Zürich;261;Oberflächengewässer;Wärme;70;kW;Ja
2019;b0197;Zürich;261;Oberflächengewässer;Wärme;41;kW;Ja
2019;b0202;Zürich;261;Oberflächengewässer;Wärme;1964;kW;Ja
2019;b0207;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2019;b0208;Zürich;261;Oberflächengewässer;Wärme;1403.3;kW;Ja
2019;b0209;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2019;b0210;Zürich;261;Oberflächengewässer;Wärme;120;kW;Ja
2019;b0223;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2019;b0729;Zürich;261;Oberflächengewässer;Wärme;2382;kW;Ja
2019;d0117;Wädenswil;293;Oberflächengewässer;Wärme;0;kW;Ja
2019;d0130;Horgen;295;Oberflächengewässer;Wärme;616;kW;Ja
2019;d0140;Wädenswil;293;Oberflächengewässer;Wärme;0;kW;Ja
2019;d0153;Kilchberg (ZH);135;Oberflächengewässer;Wärme;0;kW;Ja
2019;d0197;Horgen;295;Oberflächengewässer;Wärme;48;kW;Ja
2019;d0217;Wädenswil;293;Oberflächengewässer;Wärme;10.5;kW;Ja
2019;d0221;Rüschlikon;139;Oberflächengewässer;Wärme;5.7;kW;Ja
2019;d0225;Wädenswil;293;Oberflächengewässer;Wärme;450;kW;Ja
2019;d0226;Kilchberg (ZH);135;Oberflächengewässer;Wärme;280;kW;Ja
2019;d0230;Thalwil;141;Oberflächengewässer;Wärme;372;kW;Ja
2019;d0234;Wädenswil;293;Oberflächengewässer;Wärme;125;kW;Ja
2019;d0236;Horgen;295;Oberflächengewässer;Wärme;604;kW;Ja
2019;d0239;Horgen;295;Oberflächengewässer;Wärme;334;kW;Ja
2019;d0241;Horgen;295;Oberflächengewässer;Wärme;280;kW;Ja
2019;d0242;Thalwil;141;Oberflächengewässer;Wärme;0;kW;Nein
2019;d0246;Horgen;295;Oberflächengewässer;Wärme;0;kW;ja
2019;d0287;Wädenswil;293;Oberflächengewässer;Wärme;41;kW;Ja
2019;e0100;Küsnacht (ZH);154;Oberflächengewässer;Wärme;545;kW;Ja
2019;e0132;Meilen;156;Oberflächengewässer;Wärme;0;kW;Ja
2019;e0141;Stäfa;158;Oberflächengewässer;Wärme;23;kW;Ja
2019;e0143;Zollikon;161;Oberflächengewässer;Wärme;37;kW;Ja
2019;e0163;Männedorf;155;Oberflächengewässer;Wärme;26;kW;Ja
2019;e0165;Meilen;156;Oberflächengewässer;Wärme;130;kW;Ja
2019;e0170;Männedorf;155;Oberflächengewässer;Wärme;25;kW;Ja
2019;e0172;Stäfa;158;Oberflächengewässer;Wärme;0;kW;Ja
2019;e0174;Meilen;156;Oberflächengewässer;Wärme;105;kW;Ja
2019;e0187;Küsnacht (ZH);154;Oberflächengewässer;Wärme;136;kW;Ja
2019;e0192;Männedorf;155;Oberflächengewässer;Wärme;500;kW;Ja
2019;e0193;Männedorf;155;Oberflächengewässer;Wärme;208;kW;Ja
2019;e0194;Meilen;156;Oberflächengewässer;Wärme;67;kW;Ja
2019;e0201;Meilen;156;Oberflächengewässer;Wärme;227;kW;Ja
2019;e0206;Hombrechtikon;153;Oberflächengewässer;Wärme;26;kW;Ja
2019;g0096;Dübendorf;191;Oberflächengewässer;Wärme;0;kW;Ja
2019;g0128;Dübendorf;191;Oberflächengewässer;Wärme;250;kW;Ja
2019;g0139;Dübendorf;191;Oberflächengewässer;Wärme;573;kW;Ja
2019;h0123;Pfäffikon;177;Oberflächengewässer;Wärme;0;kW;Ja
2019;h0160;Pfäffikon;177;Oberflächengewässer;Wärme;279;kW;Ja
2019;h0165;Pfäffikon;177;Oberflächengewässer;Wärme;230;kW;Ja
2019;h0166;Pfäffikon;177;Oberflächengewässer;Wärme;187.2;kW;Ja
2019;h0167;Pfäffikon;177;Oberflächengewässer;Wärme;680;kW;Ja
2019;h0352;Pfäffikon;177;Oberflächengewässer;Wärme;0;kW;Ja
2019;k0087;Rheinau;38;Oberflächengewässer;Wärme;0;kW;Ja
2019;k0116;Flurlingen;29;Oberflächengewässer;Wärme;11.8;kW;Ja
2019;k0219;Flaach;28;Oberflächengewässer;Wärme;54;kW;Ja
2019;l0152;Hochfelden;59;Oberflächengewässer;Wärme;0;kW;Ja
2019;l0184;Eglisau;55;Oberflächengewässer;Wärme;80.6;kW;Ja
2019;l0204;Opfikon;66;Oberflächengewässer;Wärme;93;kW;Ja
2019;l0211;Glattfelden;58;Oberflächengewässer;Wärme;490;kW;Ja
2019;n0134;Dietikon;243;Oberflächengewässer;Wärme;630;kW;Ja
2019;n0135;Dietikon;243;Oberflächengewässer;Wärme;360;kW;Ja
2020;b0098;Zürich;261;Oberflächengewässer;Wärme;1196;kW;Ja
2020;b0102;Zürich;261;Oberflächengewässer;Wärme;274;kW;Ja
2020;b0116;Zürich;261;Oberflächengewässer;Wärme;100;kW;Ja
2020;b0119;Zürich;261;Oberflächengewässer;Wärme;346;kW;Ja
2020;b0131;Zürich;261;Oberflächengewässer;Wärme;42;kW;Ja
2020;b0138;Zürich;261;Oberflächengewässer;Wärme;88;kW;Ja
2020;b0143;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2020;b0150;Zürich;261;Oberflächengewässer;Wärme;0;kW;Nein
2020;b0152;Zürich;261;Oberflächengewässer;Wärme;221.3;kW;Ja
2020;b0163;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2020;b0174;Zürich;261;Oberflächengewässer;Wärme;250;kW;Ja
2020;b0182;Zürich;261;Oberflächengewässer;Wärme;18.5;kW;Ja
2020;b0186;Zürich;261;Oberflächengewässer;Wärme;123;kW;Ja
2020;b0187;Zürich;261;Oberflächengewässer;Wärme;204;kW;Ja
2020;b0192;Zürich;261;Oberflächengewässer;Wärme;3462;kW;Ja
2020;b0193;Zürich;261;Oberflächengewässer;Wärme;600;kW;Ja
2020;b0194;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2020;b0195;Zürich;261;Oberflächengewässer;Wärme;355;kW;Ja
2020;b0196;Zürich;261;Oberflächengewässer;Wärme;70;kW;Ja
2020;b0197;Zürich;261;Oberflächengewässer;Wärme;41;kW;Ja
2020;b0202;Zürich;261;Oberflächengewässer;Wärme;1963.5;kW;Ja
2020;b0207;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2020;b0208;Zürich;261;Oberflächengewässer;Wärme;1403.3;kW;Ja
2020;b0209;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2020;b0210;Zürich;261;Oberflächengewässer;Wärme;120;kW;Ja
2020;b0223;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2020;b0729;Zürich;261;Oberflächengewässer;Wärme;2382;kW;Ja
2020;d0117;Wädenswil;293;Oberflächengewässer;Wärme;0;kW;Ja
2020;d0130;Horgen;295;Oberflächengewässer;Wärme;616;kW;Ja
2020;d0140;Wädenswil;293;Oberflächengewässer;Wärme;0;kW;Ja
2020;d0153;Kilchberg (ZH);135;Oberflächengewässer;Wärme;0;kW;Ja
2020;d0197;Horgen;295;Oberflächengewässer;Wärme;48;kW;Ja
2020;d0217;Wädenswil;293;Oberflächengewässer;Wärme;10.5;kW;Ja
2020;d0221;Rüschlikon;139;Oberflächengewässer;Wärme;5.7;kW;Ja
2020;d0225;Wädenswil;293;Oberflächengewässer;Wärme;450;kW;Ja
