jahr;ort;bfsnr;anlage;rubrik;thema;wert;einheit
2018;Winterthur;230;Winterthur;Biogene Abfälle;Wärme;11717.49;MWh
2018;Zürich;261;Zürich;Biogene Abfälle;Wärme;15420.21;MWh
2018;Dällikon;84;Dällikon;Biogene Abfälle;Wärme;2416.914;MWh
2018;Dietlikon;54;Dietlikon;Biogene Abfälle;Wärme;486.78;MWh
2018;Lindau;176;Lindau;Biogene Abfälle;Wärme;4121.784;MWh
2018;Marthalen;35;Marthalen;Biogene Abfälle;Wärme;1637.952;MWh
2018;Affoltern am Albis;1;Affoltern, Zwillikon;Biogene Abfälle;Wärme;783.18;MWh
2018;Volketswil;199;Gutenswil;Biogene Abfälle;Wärme;865.374;MWh
2018;Wädenswil;293;Wädenswil;Biogene Abfälle;Wärme;1002.516;MWh
2019;Bachenbülach;51;Bachenbülach;Biogene Abfälle;Wärme;7853.46;MWh
2019;Oetwil am See;157;Oetwil am See;Biogene Abfälle;Wärme;13197.78;MWh
2019;Otelfingen;94;Otelfingen;Biogene Abfälle;Wärme;5684.61;MWh
2019;Ottenbach;11;Ottenbach;Biogene Abfälle;Wärme;8807.64;MWh
2019;Richterswil;138;Samstagern;Biogene Abfälle;Wärme;6955.14;MWh
2019;Volketswil;199;Volketswil;Biogene Abfälle;Wärme;13296.39;MWh
2019;Winterthur;230;Winterthur;Biogene Abfälle;Wärme;12285.21;MWh
2019;Zürich;261;Zürich;Biogene Abfälle;Wärme;17760.63;MWh
2019;Dällikon;84;Dällikon;Biogene Abfälle;Wärme;5093.064;MWh
2019;Dietlikon;54;Dietlikon;Biogene Abfälle;Wärme;462.84;MWh
2019;Lindau;176;Lindau;Biogene Abfälle;Wärme;5731.464;MWh
2019;Marthalen;35;Marthalen;Biogene Abfälle;Wärme;1900.608;MWh
2019;Affoltern am Albis;1;Affoltern, Zwillikon;Biogene Abfälle;Wärme;737.01;MWh
2019;Volketswil;199;Gutenswil;Biogene Abfälle;Wärme;691.524;MWh
2019;Wädenswil;293;Wädenswil;Biogene Abfälle;Wärme;1071.486;MWh
2020;Bachenbülach;51;Bachenbülach;Biogene Abfälle;Wärme;8769.45;MWh
2020;Oetwil am See;157;Oetwil am See;Biogene Abfälle;Wärme;12079.44;MWh
2020;Otelfingen;94;Otelfingen;Biogene Abfälle;Wärme;7028.1;MWh
2020;Ottenbach;11;Ottenbach;Biogene Abfälle;Wärme;8742.66;MWh
2020;Richterswil;138;Samstagern;Biogene Abfälle;Wärme;6843.42;MWh
2020;Volketswil;199;Volketswil;Biogene Abfälle;Wärme;13079.22;MWh
2020;Winterthur;230;Winterthur;Biogene Abfälle;Wärme;11677.59;MWh
2020;Zürich;261;Zürich;Biogene Abfälle;Wärme;18886.38;MWh
2020;Dällikon;84;Dällikon;Biogene Abfälle;Wärme;5426.172;MWh
2020;Dietlikon;54;Dietlikon;Biogene Abfälle;Wärme;398.43;MWh
2020;Lindau;176;Lindau;Biogene Abfälle;Wärme;6519.432;MWh
2020;Marthalen;35;Marthalen;Biogene Abfälle;Wärme;1972.2;MWh
2020;Affoltern am Albis;1;Affoltern, Zwillikon;Biogene Abfälle;Wärme;969.912;MWh
2020;Volketswil;199;Gutenswil;Biogene Abfälle;Wärme;647.748;MWh
2020;Wädenswil;293;Wädenswil;Biogene Abfälle;Wärme;1037.97;MWh
2021;Bachenbülach;51;Bachenbülach;Biogene Abfälle;Wärme;9678.03;MWh
2021;Oetwil am See;157;Oetwil am See;Biogene Abfälle;Wärme;11697.54;MWh
2021;Otelfingen;94;Otelfingen;Biogene Abfälle;Wärme;7678.47;MWh
2021;Ottenbach;11;Ottenbach;Biogene Abfälle;Wärme;8685.66;MWh
2021;Richterswil;138;Samstagern;Biogene Abfälle;Wärme;6589.2;MWh
2021;Volketswil;199;Volketswil;Biogene Abfälle;Wärme;12313.14;MWh
2021;Winterthur;230;Winterthur;Biogene Abfälle;Wärme;13780.89;MWh
2021;Zürich;261;Zürich;Biogene Abfälle;Wärme;20353.56;MWh
2021;Dällikon;84;Dällikon;Biogene Abfälle;Wärme;3429.12;MWh
2021;Dietlikon;54;Dietlikon;Biogene Abfälle;Wärme;406.98;MWh
2021;Lindau;176;Lindau;Biogene Abfälle;Wärme;7285.398;MWh
2021;Marthalen;35;Marthalen;Biogene Abfälle;Wärme;2081.184;MWh
2021;Affoltern am Albis;1;Affoltern, Zwillikon;Biogene Abfälle;Wärme;986.67;MWh
