"jahr";"anlage";"ort";"bfsnr";"rubrik";"thema";"wert";"einheit";"betrieb"
"2024";"e0141";"Stäfa";"158";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"e0143";"Zollikon";"161";"Oberflächengewässer";"Wärme";"37,000";"kW";"Ja"
"2024";"e0143";"Zollikon";"161";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"e0163";"Männedorf";"155";"Oberflächengewässer";"Wärme";"26,000";"kW";"Ja"
"2024";"e0163";"Männedorf";"155";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"e0165";"Meilen";"156";"Oberflächengewässer";"Wärme";"130,000";"kW";"Ja"
"2024";"e0165";"Meilen";"156";"Oberflächengewässer";"Kälte";"300,000";"kW";"Ja"
"2024";"e0170";"Männedorf";"155";"Oberflächengewässer";"Wärme";"25,000";"kW";"Ja"
"2024";"e0170";"Männedorf";"155";"Oberflächengewässer";"Kälte";"25,000";"kW";"Ja"
"2024";"e0172";"Stäfa";"158";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2024";"e0172";"Stäfa";"158";"Oberflächengewässer";"Kälte";"320,000";"kW";"Ja"
"2024";"e0174";"Meilen";"156";"Oberflächengewässer";"Wärme";"105,000";"kW";"Ja"
"2024";"e0174";"Meilen";"156";"Oberflächengewässer";"Kälte";"140,000";"kW";"Ja"
"2024";"e0187";"Küsnacht (ZH)";"154";"Oberflächengewässer";"Wärme";"162,800";"kW";"Ja"
"2024";"e0187";"Küsnacht (ZH)";"154";"Oberflächengewässer";"Kälte";"86,000";"kW";"Ja"
"2024";"e0192";"Männedorf";"155";"Oberflächengewässer";"Wärme";"500,000";"kW";"Ja"
"2024";"e0192";"Männedorf";"155";"Oberflächengewässer";"Kälte";"525,000";"kW";"Ja"
"2024";"e0193";"Männedorf";"155";"Oberflächengewässer";"Wärme";"393,000";"kW";"Ja"
"2024";"e0193";"Männedorf";"155";"Oberflächengewässer";"Kälte";"778,000";"kW";"Ja"
"2024";"e0194";"Meilen";"156";"Oberflächengewässer";"Wärme";"67,000";"kW";"Ja"
"2024";"e0194";"Meilen";"156";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"e0201";"Meilen";"156";"Oberflächengewässer";"Wärme";"227,000";"kW";"Ja"
"2024";"e0201";"Meilen";"156";"Oberflächengewässer";"Kälte";"90,000";"kW";"Ja"
"2024";"e0204";"Uetikon am See";"159";"Oberflächengewässer";"Wärme";"750,000";"kW";"Ja"
"2024";"e0204";"Uetikon am See";"159";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"e0206";"Hombrechtikon";"153";"Oberflächengewässer";"Wärme";"26,000";"kW";"Ja"
"2024";"e0206";"Hombrechtikon";"153";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"e0211";"Meilen";"156";"Oberflächengewässer";"Wärme";"20,000";"kW";"Ja"
"2024";"e0211";"Meilen";"156";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"e0212";"Meilen";"156";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2024";"e0212";"Meilen";"156";"Oberflächengewässer";"Kälte";"7500,000";"kW";"Ja"
"2024";"e0213";"Küsnacht (ZH)";"154";"Oberflächengewässer";"Wärme";"102,000";"kW";"Ja"
"2024";"e0213";"Küsnacht (ZH)";"154";"Oberflächengewässer";"Kälte";"102,000";"kW";"Ja"
"2024";"e0214";"Küsnacht (ZH)";"154";"Oberflächengewässer";"Wärme";"200,000";"kW";"Nein"
"2024";"e0214";"Küsnacht (ZH)";"154";"Oberflächengewässer";"Kälte";"1650,000";"kW";"Nein"
"2024";"e0215";"Meilen";"156";"Oberflächengewässer";"Wärme";"203,000";"kW";"Ja"
"2024";"e0215";"Meilen";"156";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"e0220";"Zollikon";"161";"Oberflächengewässer";"Wärme";"13333,000";"kW";"Nein"
"2024";"e0220";"Zollikon";"161";"Oberflächengewässer";"Kälte";"11725,000";"kW";"Nein"
"2024";"g0096";"Dübendorf";"191";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
