"jahr";"bfsnr";"ort";"rubrik";"thema";"wert";"einheit"
2012;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2012;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2012;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2012;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2013;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2013;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2013;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2013;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2013;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2014;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2014;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2014;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2014;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2014;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2015;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2015;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2015;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2015;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2015;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2016;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2016;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2016;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2016;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2016;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2017;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2017;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2017;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2017;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2017;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2018;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2018;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2018;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2018;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2018;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2019;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2019;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2019;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2019;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2019;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2020;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2020;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2020;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2020;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2020;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2021;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2021;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2021;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2021;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2021;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2022;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2022;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2022;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
