"jahr";"ort";"rubrik";"thema";"subthema";"wert";"einheit"
1995;"Schweiz";"Umweltwärme";"SoleWasserWP";"Anzahl";12493.857694406272;"Anzahl"
1995;"Schweiz";"Umweltwärme";"WasserWasserWP";"Anzahl";3848.4265790182744;"Anzahl"
1995;"Schweiz";"Umweltwärme";"LuftWasserWP";"Energie";430.0196849499279;"GWh"
1995;"Schweiz";"Umweltwärme";"LuftLuftWP";"Energie";0.011314285714285716;"GWh"
1995;"Schweiz";"Umweltwärme";"SoleWasserWP";"Energie";328.5344239448103;"GWh"
1995;"Schweiz";"Umweltwärme";"WasserWasserWP";"Energie";284.44087641660644;"GWh"
1995;"Kanton";"Umweltwärme";"SoleWasserWP";"Anzahl";1632;"Anzahl"
1995;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";126.18;"MWh"
1995;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";70.1;"kW"
1995;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";29081.7;"MWh"
1995;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";16156.5;"kW"
1995;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (GP)";2108.0672415565396;"Anzahl"
1995;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";20869.47817904916;"kW"
1995;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";90.54872158891753;"kW"
1995;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";37565.060722288494;"MWh"
1995;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";162.98769886005158;"MWh"
1995;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (BFE)";3866.48889928063;"Anzahl"
1995;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";38277.52935124234;"kW"
1995;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";166.07896558797313;"kW"
1995;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";68899.55283223621;"MWh"
1995;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";298.9421380583517;"MWh"
1996;"Schweiz";"Umweltwärme";"LuftWasserWP";"Anzahl";31072.886839421324;"Anzahl"
1996;"Schweiz";"Umweltwärme";"LuftLuftWP";"Anzahl";70;"Anzahl"
1996;"Schweiz";"Umweltwärme";"SoleWasserWP";"Anzahl";13662.772010694764;"Anzahl"
1996;"Schweiz";"Umweltwärme";"WasserWasserWP";"Anzahl";4050.2714514077065;"Anzahl"
1996;"Schweiz";"Umweltwärme";"LuftWasserWP";"Energie";448.66957284707655;"GWh"
1996;"Schweiz";"Umweltwärme";"LuftLuftWP";"Energie";0.05139492656875834;"GWh"
1996;"Schweiz";"Umweltwärme";"SoleWasserWP";"Energie";347.97232595604;"GWh"
1996;"Schweiz";"Umweltwärme";"WasserWasserWP";"Energie";287.08302139033435;"GWh"
1996;"Kanton";"Umweltwärme";"SoleWasserWP";"Anzahl";1967;"Anzahl"
1996;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";126.18;"MWh"
1996;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";70.1;"kW"
1996;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";34160.58;"MWh"
1996;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";18978.1;"kW"
1996;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (GP)";2540.7893775378143;"Anzahl"
1996;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";24514.161101093236;"kW"
1996;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";90.54872158891753;"kW"
1996;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";44125.489981967825;"MWh"
1996;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";162.98769886005158;"MWh"
1996;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (BFE)";4483.574662974027;"Anzahl"
1996;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";43258.6315767094;"kW"
1996;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";159.78575692652734;"kW"
1996;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";77865.53683807692;"MWh"
1996;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";287.6143624677493;"MWh"
1997;"Schweiz";"Umweltwärme";"LuftWasserWP";"Anzahl";32856.5381770246;"Anzahl"
1997;"Schweiz";"Umweltwärme";"LuftLuftWP";"Anzahl";202;"Anzahl"
1997;"Schweiz";"Umweltwärme";"SoleWasserWP";"Anzahl";15208.820289498248;"Anzahl"
1997;"Schweiz";"Umweltwärme";"WasserWasserWP";"Anzahl";4218.276505993645;"Anzahl"
1997;"Schweiz";"Umweltwärme";"LuftWasserWP";"Energie";467.3161634505229;"GWh"
1997;"Schweiz";"Umweltwärme";"LuftLuftWP";"Energie";0.15732678629610125;"GWh"
