"jahr";"bfsnr";"ort";"rubrik";"thema";"wert";"einheit"
2009;177;"Pfäffikon";"Oberflächengewässer";"Kälte";4070;"kW"
2009;177;"Pfäffikon";"Oberflächengewässer";"Kälte";3;"Anzahl"
2009;177;"Pfäffikon";"Oberflächengewässer";"Kälte";7326;"MWh"
2009;191;"Dübendorf";"Oberflächengewässer";"Kälte";1528;"kW"
2009;191;"Dübendorf";"Oberflächengewässer";"Kälte";2;"Anzahl"
2009;191;"Dübendorf";"Oberflächengewässer";"Kälte";2750.4;"MWh"
2009;230;"Winterthur";"Oberflächengewässer";"Kälte";0;"kW"
2009;230;"Winterthur";"Oberflächengewässer";"Kälte";1;"Anzahl"
2009;230;"Winterthur";"Oberflächengewässer";"Kälte";0;"MWh"
2009;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Kälte";50;"kW"
2009;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Kälte";1;"Anzahl"
2009;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Kälte";90;"MWh"
2009;243;"Dietikon";"Oberflächengewässer";"Kälte";420;"kW"
2009;243;"Dietikon";"Oberflächengewässer";"Kälte";1;"Anzahl"
2009;243;"Dietikon";"Oberflächengewässer";"Kälte";756;"MWh"
2009;261;"Zürich";"Oberflächengewässer";"Kälte";22623.6;"kW"
2009;261;"Zürich";"Oberflächengewässer";"Kälte";30;"Anzahl"
2009;261;"Zürich";"Oberflächengewässer";"Kälte";40722.48;"MWh"
2009;291;"Andelfingen";"Oberflächengewässer";"Kälte";0;"kW"
2009;291;"Andelfingen";"Oberflächengewässer";"Kälte";1;"Anzahl"
2009;291;"Andelfingen";"Oberflächengewässer";"Kälte";0;"MWh"
2009;293;"Wädenswil";"Oberflächengewässer";"Kälte";2865;"kW"
2009;293;"Wädenswil";"Oberflächengewässer";"Kälte";6;"Anzahl"
2009;293;"Wädenswil";"Oberflächengewässer";"Kälte";5157;"MWh"
2009;295;"Horgen";"Oberflächengewässer";"Kälte";0;"kW"
2009;295;"Horgen";"Oberflächengewässer";"Kälte";3;"Anzahl"
2009;295;"Horgen";"Oberflächengewässer";"Kälte";0;"MWh"
2009;29;"Flurlingen";"Oberflächengewässer";"Wärme";8;"kW"
2009;29;"Flurlingen";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;29;"Flurlingen";"Oberflächengewässer";"Wärme";14.4;"MWh"
2009;38;"Rheinau";"Oberflächengewässer";"Wärme";0;"kW"
2009;38;"Rheinau";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;38;"Rheinau";"Oberflächengewässer";"Wärme";0;"MWh"
2009;55;"Eglisau";"Oberflächengewässer";"Wärme";80.6;"kW"
2009;55;"Eglisau";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;55;"Eglisau";"Oberflächengewässer";"Wärme";145.08;"MWh"
2009;58;"Glattfelden";"Oberflächengewässer";"Wärme";550;"kW"
2009;58;"Glattfelden";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;58;"Glattfelden";"Oberflächengewässer";"Wärme";990;"MWh"
2009;59;"Hochfelden";"Oberflächengewässer";"Wärme";0;"kW"
2009;59;"Hochfelden";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;59;"Hochfelden";"Oberflächengewässer";"Wärme";0;"MWh"
2009;66;"Opfikon";"Oberflächengewässer";"Wärme";93;"kW"
2009;66;"Opfikon";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;66;"Opfikon";"Oberflächengewässer";"Wärme";167.4;"MWh"
2009;81;"Bachs";"Oberflächengewässer";"Wärme";19.4;"kW"
2009;81;"Bachs";"Oberflächengewässer";"Wärme";3;"Anzahl"
2009;81;"Bachs";"Oberflächengewässer";"Wärme";34.92;"MWh"
2009;135;"Kilchberg (ZH)";"Oberflächengewässer";"Wärme";280;"kW"
2009;135;"Kilchberg (ZH)";"Oberflächengewässer";"Wärme";2;"Anzahl"
2009;135;"Kilchberg (ZH)";"Oberflächengewässer";"Wärme";504;"MWh"
2009;139;"Rüschlikon";"Oberflächengewässer";"Wärme";5.7;"kW"
2009;139;"Rüschlikon";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;139;"Rüschlikon";"Oberflächengewässer";"Wärme";10.26;"MWh"
2009;141;"Thalwil";"Oberflächengewässer";"Wärme";372;"kW"
2009;141;"Thalwil";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;141;"Thalwil";"Oberflächengewässer";"Wärme";669.6;"MWh"
2009;154;"Küsnacht (ZH)";"Oberflächengewässer";"Wärme";705;"kW"
2009;154;"Küsnacht (ZH)";"Oberflächengewässer";"Wärme";2;"Anzahl"
2009;154;"Küsnacht (ZH)";"Oberflächengewässer";"Wärme";1269;"MWh"
2009;155;"Männedorf";"Oberflächengewässer";"Wärme";1995;"kW"
2009;155;"Männedorf";"Oberflächengewässer";"Wärme";4;"Anzahl"
2009;155;"Männedorf";"Oberflächengewässer";"Wärme";3591;"MWh"
2009;156;"Meilen";"Oberflächengewässer";"Wärme";337.5;"kW"
2009;156;"Meilen";"Oberflächengewässer";"Wärme";4;"Anzahl"
2009;156;"Meilen";"Oberflächengewässer";"Wärme";607.5;"MWh"
2009;158;"Stäfa";"Oberflächengewässer";"Wärme";23;"kW"
2009;158;"Stäfa";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;158;"Stäfa";"Oberflächengewässer";"Wärme";41.4;"MWh"
2009;159;"Uetikon am See";"Oberflächengewässer";"Wärme";0;"kW"
2009;159;"Uetikon am See";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;159;"Uetikon am See";"Oberflächengewässer";"Wärme";0;"MWh"
2009;161;"Zollikon";"Oberflächengewässer";"Wärme";27.5;"kW"
2009;161;"Zollikon";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;161;"Zollikon";"Oberflächengewässer";"Wärme";49.5;"MWh"
2009;177;"Pfäffikon";"Oberflächengewässer";"Wärme";509;"kW"
2009;177;"Pfäffikon";"Oberflächengewässer";"Wärme";3;"Anzahl"
2009;177;"Pfäffikon";"Oberflächengewässer";"Wärme";916.2;"MWh"
2009;191;"Dübendorf";"Oberflächengewässer";"Wärme";250;"kW"
2009;191;"Dübendorf";"Oberflächengewässer";"Wärme";2;"Anzahl"
2009;191;"Dübendorf";"Oberflächengewässer";"Wärme";450;"MWh"
2009;230;"Winterthur";"Oberflächengewässer";"Wärme";0;"kW"
2009;230;"Winterthur";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;230;"Winterthur";"Oberflächengewässer";"Wärme";0;"MWh"
2009;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Wärme";0;"kW"
2009;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Wärme";0;"MWh"
2009;243;"Dietikon";"Oberflächengewässer";"Wärme";630;"kW"
2009;243;"Dietikon";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;243;"Dietikon";"Oberflächengewässer";"Wärme";1134;"MWh"
2009;261;"Zürich";"Oberflächengewässer";"Wärme";13704;"kW"
2009;261;"Zürich";"Oberflächengewässer";"Wärme";30;"Anzahl"
2009;261;"Zürich";"Oberflächengewässer";"Wärme";24667.2;"MWh"
2009;291;"Andelfingen";"Oberflächengewässer";"Wärme";0;"kW"
2009;291;"Andelfingen";"Oberflächengewässer";"Wärme";1;"Anzahl"
2009;291;"Andelfingen";"Oberflächengewässer";"Wärme";0;"MWh"
2009;293;"Wädenswil";"Oberflächengewässer";"Wärme";518.5;"kW"
2009;293;"Wädenswil";"Oberflächengewässer";"Wärme";6;"Anzahl"
2009;293;"Wädenswil";"Oberflächengewässer";"Wärme";933.3;"MWh"
2009;295;"Horgen";"Oberflächengewässer";"Wärme";676;"kW"
2009;295;"Horgen";"Oberflächengewässer";"Wärme";3;"Anzahl"
2009;295;"Horgen";"Oberflächengewässer";"Wärme";1216.8;"MWh"
2010;29;"Flurlingen";"Oberflächengewässer";"Kälte";0;"kW"
2010;29;"Flurlingen";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;29;"Flurlingen";"Oberflächengewässer";"Kälte";0;"MWh"
2010;38;"Rheinau";"Oberflächengewässer";"Kälte";1500;"kW"
2010;38;"Rheinau";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;38;"Rheinau";"Oberflächengewässer";"Kälte";2700;"MWh"
2010;55;"Eglisau";"Oberflächengewässer";"Kälte";0;"kW"
2010;55;"Eglisau";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;55;"Eglisau";"Oberflächengewässer";"Kälte";0;"MWh"
2010;58;"Glattfelden";"Oberflächengewässer";"Kälte";249;"kW"
2010;58;"Glattfelden";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;58;"Glattfelden";"Oberflächengewässer";"Kälte";448.2;"MWh"
2010;59;"Hochfelden";"Oberflächengewässer";"Kälte";870;"kW"
2010;59;"Hochfelden";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;59;"Hochfelden";"Oberflächengewässer";"Kälte";1566;"MWh"
2010;66;"Opfikon";"Oberflächengewässer";"Kälte";0;"kW"
2010;66;"Opfikon";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;66;"Opfikon";"Oberflächengewässer";"Kälte";0;"MWh"
2010;81;"Bachs";"Oberflächengewässer";"Kälte";0;"kW"
2010;81;"Bachs";"Oberflächengewässer";"Kälte";3;"Anzahl"
2010;81;"Bachs";"Oberflächengewässer";"Kälte";0;"MWh"
2010;135;"Kilchberg (ZH)";"Oberflächengewässer";"Kälte";7300;"kW"
2010;135;"Kilchberg (ZH)";"Oberflächengewässer";"Kälte";2;"Anzahl"
2010;135;"Kilchberg (ZH)";"Oberflächengewässer";"Kälte";13140;"MWh"
2010;139;"Rüschlikon";"Oberflächengewässer";"Kälte";0;"kW"
2010;139;"Rüschlikon";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;139;"Rüschlikon";"Oberflächengewässer";"Kälte";0;"MWh"
2010;141;"Thalwil";"Oberflächengewässer";"Kälte";0;"kW"
2010;141;"Thalwil";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;141;"Thalwil";"Oberflächengewässer";"Kälte";0;"MWh"
2010;154;"Küsnacht (ZH)";"Oberflächengewässer";"Kälte";791;"kW"
2010;154;"Küsnacht (ZH)";"Oberflächengewässer";"Kälte";2;"Anzahl"
2010;154;"Küsnacht (ZH)";"Oberflächengewässer";"Kälte";1423.8;"MWh"
2010;155;"Männedorf";"Oberflächengewässer";"Kälte";1600;"kW"
2010;155;"Männedorf";"Oberflächengewässer";"Kälte";4;"Anzahl"
2010;155;"Männedorf";"Oberflächengewässer";"Kälte";2880;"MWh"
2010;156;"Meilen";"Oberflächengewässer";"Kälte";930;"kW"
2010;156;"Meilen";"Oberflächengewässer";"Kälte";4;"Anzahl"
2010;156;"Meilen";"Oberflächengewässer";"Kälte";1674;"MWh"
2010;158;"Stäfa";"Oberflächengewässer";"Kälte";0;"kW"
2010;158;"Stäfa";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;158;"Stäfa";"Oberflächengewässer";"Kälte";0;"MWh"
2010;159;"Uetikon am See";"Oberflächengewässer";"Kälte";5400;"kW"
2010;159;"Uetikon am See";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;159;"Uetikon am See";"Oberflächengewässer";"Kälte";9720;"MWh"
2010;161;"Zollikon";"Oberflächengewässer";"Kälte";0;"kW"
2010;161;"Zollikon";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;161;"Zollikon";"Oberflächengewässer";"Kälte";0;"MWh"
2010;177;"Pfäffikon";"Oberflächengewässer";"Kälte";4070;"kW"
2010;177;"Pfäffikon";"Oberflächengewässer";"Kälte";3;"Anzahl"
2010;177;"Pfäffikon";"Oberflächengewässer";"Kälte";7326;"MWh"
2010;191;"Dübendorf";"Oberflächengewässer";"Kälte";1528;"kW"
2010;191;"Dübendorf";"Oberflächengewässer";"Kälte";2;"Anzahl"
2010;191;"Dübendorf";"Oberflächengewässer";"Kälte";2750.4;"MWh"
2010;230;"Winterthur";"Oberflächengewässer";"Kälte";0;"kW"
2010;230;"Winterthur";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;230;"Winterthur";"Oberflächengewässer";"Kälte";0;"MWh"
2010;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Kälte";50;"kW"
2010;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Kälte";90;"MWh"
2010;243;"Dietikon";"Oberflächengewässer";"Kälte";420;"kW"
2010;243;"Dietikon";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;243;"Dietikon";"Oberflächengewässer";"Kälte";756;"MWh"
2010;261;"Zürich";"Oberflächengewässer";"Kälte";22623.6;"kW"
2010;261;"Zürich";"Oberflächengewässer";"Kälte";30;"Anzahl"
2010;261;"Zürich";"Oberflächengewässer";"Kälte";40722.48;"MWh"
2010;291;"Andelfingen";"Oberflächengewässer";"Kälte";0;"kW"
2010;291;"Andelfingen";"Oberflächengewässer";"Kälte";1;"Anzahl"
2010;291;"Andelfingen";"Oberflächengewässer";"Kälte";0;"MWh"
2010;293;"Wädenswil";"Oberflächengewässer";"Kälte";2865;"kW"
2010;293;"Wädenswil";"Oberflächengewässer";"Kälte";6;"Anzahl"
2010;293;"Wädenswil";"Oberflächengewässer";"Kälte";5157;"MWh"
2010;295;"Horgen";"Oberflächengewässer";"Kälte";0;"kW"
2010;295;"Horgen";"Oberflächengewässer";"Kälte";3;"Anzahl"
2010;295;"Horgen";"Oberflächengewässer";"Kälte";0;"MWh"
2010;29;"Flurlingen";"Oberflächengewässer";"Wärme";8;"kW"
2010;29;"Flurlingen";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;29;"Flurlingen";"Oberflächengewässer";"Wärme";14.4;"MWh"
2010;38;"Rheinau";"Oberflächengewässer";"Wärme";0;"kW"
2010;38;"Rheinau";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;38;"Rheinau";"Oberflächengewässer";"Wärme";0;"MWh"
2010;55;"Eglisau";"Oberflächengewässer";"Wärme";80.6;"kW"
2010;55;"Eglisau";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;55;"Eglisau";"Oberflächengewässer";"Wärme";145.08;"MWh"
2010;58;"Glattfelden";"Oberflächengewässer";"Wärme";550;"kW"
2010;58;"Glattfelden";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;58;"Glattfelden";"Oberflächengewässer";"Wärme";990;"MWh"
2010;59;"Hochfelden";"Oberflächengewässer";"Wärme";0;"kW"
2010;59;"Hochfelden";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;59;"Hochfelden";"Oberflächengewässer";"Wärme";0;"MWh"
2010;66;"Opfikon";"Oberflächengewässer";"Wärme";93;"kW"
2010;66;"Opfikon";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;66;"Opfikon";"Oberflächengewässer";"Wärme";167.4;"MWh"
2010;81;"Bachs";"Oberflächengewässer";"Wärme";19.4;"kW"
2010;81;"Bachs";"Oberflächengewässer";"Wärme";3;"Anzahl"
2010;81;"Bachs";"Oberflächengewässer";"Wärme";34.92;"MWh"
2010;135;"Kilchberg (ZH)";"Oberflächengewässer";"Wärme";280;"kW"
2010;135;"Kilchberg (ZH)";"Oberflächengewässer";"Wärme";2;"Anzahl"
2010;135;"Kilchberg (ZH)";"Oberflächengewässer";"Wärme";504;"MWh"
2010;139;"Rüschlikon";"Oberflächengewässer";"Wärme";5.7;"kW"
2010;139;"Rüschlikon";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;139;"Rüschlikon";"Oberflächengewässer";"Wärme";10.26;"MWh"
2010;141;"Thalwil";"Oberflächengewässer";"Wärme";372;"kW"
2010;141;"Thalwil";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;141;"Thalwil";"Oberflächengewässer";"Wärme";669.6;"MWh"
2010;154;"Küsnacht (ZH)";"Oberflächengewässer";"Wärme";705;"kW"
2010;154;"Küsnacht (ZH)";"Oberflächengewässer";"Wärme";2;"Anzahl"
2010;154;"Küsnacht (ZH)";"Oberflächengewässer";"Wärme";1269;"MWh"
2010;155;"Männedorf";"Oberflächengewässer";"Wärme";1995;"kW"
2010;155;"Männedorf";"Oberflächengewässer";"Wärme";4;"Anzahl"
2010;155;"Männedorf";"Oberflächengewässer";"Wärme";3591;"MWh"
2010;156;"Meilen";"Oberflächengewässer";"Wärme";337.5;"kW"
2010;156;"Meilen";"Oberflächengewässer";"Wärme";4;"Anzahl"
2010;156;"Meilen";"Oberflächengewässer";"Wärme";607.5;"MWh"
2010;158;"Stäfa";"Oberflächengewässer";"Wärme";23;"kW"
2010;158;"Stäfa";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;158;"Stäfa";"Oberflächengewässer";"Wärme";41.4;"MWh"
2010;159;"Uetikon am See";"Oberflächengewässer";"Wärme";0;"kW"
2010;159;"Uetikon am See";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;159;"Uetikon am See";"Oberflächengewässer";"Wärme";0;"MWh"
2010;161;"Zollikon";"Oberflächengewässer";"Wärme";27.5;"kW"
2010;161;"Zollikon";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;161;"Zollikon";"Oberflächengewässer";"Wärme";49.5;"MWh"
2010;177;"Pfäffikon";"Oberflächengewässer";"Wärme";509;"kW"
2010;177;"Pfäffikon";"Oberflächengewässer";"Wärme";3;"Anzahl"
2010;177;"Pfäffikon";"Oberflächengewässer";"Wärme";916.2;"MWh"
2010;191;"Dübendorf";"Oberflächengewässer";"Wärme";250;"kW"
2010;191;"Dübendorf";"Oberflächengewässer";"Wärme";2;"Anzahl"
2010;191;"Dübendorf";"Oberflächengewässer";"Wärme";450;"MWh"
2010;230;"Winterthur";"Oberflächengewässer";"Wärme";0;"kW"
2010;230;"Winterthur";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;230;"Winterthur";"Oberflächengewässer";"Wärme";0;"MWh"
2010;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Wärme";0;"kW"
2010;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Wärme";0;"MWh"
2010;243;"Dietikon";"Oberflächengewässer";"Wärme";630;"kW"
2010;243;"Dietikon";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;243;"Dietikon";"Oberflächengewässer";"Wärme";1134;"MWh"
2010;261;"Zürich";"Oberflächengewässer";"Wärme";13704;"kW"
2010;261;"Zürich";"Oberflächengewässer";"Wärme";30;"Anzahl"
2010;261;"Zürich";"Oberflächengewässer";"Wärme";24667.2;"MWh"
2010;291;"Andelfingen";"Oberflächengewässer";"Wärme";0;"kW"
2010;291;"Andelfingen";"Oberflächengewässer";"Wärme";1;"Anzahl"
2010;291;"Andelfingen";"Oberflächengewässer";"Wärme";0;"MWh"
2010;293;"Wädenswil";"Oberflächengewässer";"Wärme";518.5;"kW"
2010;293;"Wädenswil";"Oberflächengewässer";"Wärme";6;"Anzahl"
2010;293;"Wädenswil";"Oberflächengewässer";"Wärme";933.3;"MWh"
2010;295;"Horgen";"Oberflächengewässer";"Wärme";676;"kW"
2010;295;"Horgen";"Oberflächengewässer";"Wärme";3;"Anzahl"
2010;295;"Horgen";"Oberflächengewässer";"Wärme";1216.8;"MWh"
2011;29;"Flurlingen";"Oberflächengewässer";"Kälte";0;"kW"
2011;29;"Flurlingen";"Oberflächengewässer";"Kälte";1;"Anzahl"
2011;29;"Flurlingen";"Oberflächengewässer";"Kälte";0;"MWh"
2011;38;"Rheinau";"Oberflächengewässer";"Kälte";1500;"kW"
2011;38;"Rheinau";"Oberflächengewässer";"Kälte";1;"Anzahl"
2011;38;"Rheinau";"Oberflächengewässer";"Kälte";2700;"MWh"
2011;55;"Eglisau";"Oberflächengewässer";"Kälte";0;"kW"
2011;55;"Eglisau";"Oberflächengewässer";"Kälte";1;"Anzahl"
2011;55;"Eglisau";"Oberflächengewässer";"Kälte";0;"MWh"
2011;58;"Glattfelden";"Oberflächengewässer";"Kälte";200;"kW"
2011;58;"Glattfelden";"Oberflächengewässer";"Kälte";1;"Anzahl"
2011;58;"Glattfelden";"Oberflächengewässer";"Kälte";360;"MWh"
2011;59;"Hochfelden";"Oberflächengewässer";"Kälte";870;"kW"
2011;59;"Hochfelden";"Oberflächengewässer";"Kälte";1;"Anzahl"
2011;59;"Hochfelden";"Oberflächengewässer";"Kälte";1566;"MWh"
2011;66;"Opfikon";"Oberflächengewässer";"Kälte";0;"kW"
2011;66;"Opfikon";"Oberflächengewässer";"Kälte";1;"Anzahl"
2011;66;"Opfikon";"Oberflächengewässer";"Kälte";0;"MWh"
2011;81;"Bachs";"Oberflächengewässer";"Kälte";0;"kW"
2011;81;"Bachs";"Oberflächengewässer";"Kälte";3;"Anzahl"
2011;81;"Bachs";"Oberflächengewässer";"Kälte";0;"MWh"
2011;135;"Kilchberg (ZH)";"Oberflächengewässer";"Kälte";7480;"kW"
2011;135;"Kilchberg (ZH)";"Oberflächengewässer";"Kälte";2;"Anzahl"
2011;135;"Kilchberg (ZH)";"Oberflächengewässer";"Kälte";13464;"MWh"
2011;139;"Rüschlikon";"Oberflächengewässer";"Kälte";0;"kW"
2011;139;"Rüschlikon";"Oberflächengewässer";"Kälte";1;"Anzahl"
2011;139;"Rüschlikon";"Oberflächengewässer";"Kälte";0;"MWh"
2011;141;"Thalwil";"Oberflächengewässer";"Kälte";0;"kW"
2011;141;"Thalwil";"Oberflächengewässer";"Kälte";1;"Anzahl"
2011;141;"Thalwil";"Oberflächengewässer";"Kälte";0;"MWh"
2011;154;"Küsnacht (ZH)";"Oberflächengewässer";"Kälte";791;"kW"
2011;154;"Küsnacht (ZH)";"Oberflächengewässer";"Kälte";2;"Anzahl"
2011;154;"Küsnacht (ZH)";"Oberflächengewässer";"Kälte";1423.8;"MWh"
2011;155;"Männedorf";"Oberflächengewässer";"Kälte";550;"kW"
2011;155;"Männedorf";"Oberflächengewässer";"Kälte";3;"Anzahl"
2011;155;"Männedorf";"Oberflächengewässer";"Kälte";990;"MWh"
2011;156;"Meilen";"Oberflächengewässer";"Kälte";940;"kW"
2011;156;"Meilen";"Oberflächengewässer";"Kälte";3;"Anzahl"
2011;156;"Meilen";"Oberflächengewässer";"Kälte";1692;"MWh"
2011;158;"Stäfa";"Oberflächengewässer";"Kälte";0;"kW"
2011;158;"Stäfa";"Oberflächengewässer";"Kälte";1;"Anzahl"
2011;158;"Stäfa";"Oberflächengewässer";"Kälte";0;"MWh"
2011;159;"Uetikon am See";"Oberflächengewässer";"Kälte";5400;"kW"
2011;159;"Uetikon am See";"Oberflächengewässer";"Kälte";1;"Anzahl"
2011;159;"Uetikon am See";"Oberflächengewässer";"Kälte";9720;"MWh"
2011;161;"Zollikon";"Oberflächengewässer";"Kälte";0;"kW"
2011;161;"Zollikon";"Oberflächengewässer";"Kälte";1;"Anzahl"
2011;161;"Zollikon";"Oberflächengewässer";"Kälte";0;"MWh"
2011;177;"Pfäffikon";"Oberflächengewässer";"Kälte";4070;"kW"
2011;177;"Pfäffikon";"Oberflächengewässer";"Kälte";3;"Anzahl"
2011;177;"Pfäffikon";"Oberflächengewässer";"Kälte";7326;"MWh"
2011;191;"Dübendorf";"Oberflächengewässer";"Kälte";1528;"kW"
2011;191;"Dübendorf";"Oberflächengewässer";"Kälte";2;"Anzahl"
2011;191;"Dübendorf";"Oberflächengewässer";"Kälte";2750.4;"MWh"
2011;230;"Winterthur";"Oberflächengewässer";"Kälte";3;"kW"
2011;230;"Winterthur";"Oberflächengewässer";"Kälte";1;"Anzahl"
2011;230;"Winterthur";"Oberflächengewässer";"Kälte";5.4;"MWh"
2011;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Kälte";50;"kW"
2011;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Kälte";1;"Anzahl"
2011;242;"Birmensdorf (ZH)";"Oberflächengewässer";"Kälte";90;"MWh"
2011;243;"Dietikon";"Oberflächengewässer";"Kälte";420;"kW"
2011;243;"Dietikon";"Oberflächengewässer";"Kälte";1;"Anzahl"
2011;243;"Dietikon";"Oberflächengewässer";"Kälte";756;"MWh"
