"jahr";"rubrik";"thema";"wert";"einheit";"ort";"bfsnr"
"2017";"Wärme";"ARA";"858";"MWh";"Männedorf (Bluemax)";"155"
"2017";"Wärme";"ARA";"418";"MWh";"Mönchaltorf";"196"
"2017";"Wärme";"ARA";"903";"MWh";"Regensdorf (Wüeri)";"96"
"2017";"Wärme";"ARA";"1946";"MWh";"Thalwil";"141"
"2017";"Wärme";"ARA";"2372";"MWh";"Uster";"198"
"2017";"Wärme";"ARA";"400";"MWh";"Winterthur (Hard)";"230"
"2017";"Wärme";"ARA";"700";"MWh";"Wädenswil (Rietliau)";"293"
"2017";"Wärme";"ARA";"45176";"MWh";"Zürich (Werdhölzli)";"261"
"2018";"Wärme";"ARA";"1089";"MWh";"Adliswil (Grütpark)";"131"
"2018";"Wärme";"ARA";"1266";"MWh";"Bassersdorf (Eich)";"52"
"2018";"Wärme";"ARA";"700";"MWh";"Bülach";"53"
"2018";"Wärme";"ARA";"5104";"MWh";"Dietikon (Limmatfeld)";"243"
"2018";"Wärme";"ARA";"7800";"MWh";"Dübendorf (Neugut)";"191"
"2018";"Wärme";"ARA";"1134";"MWh";"Effretikon (Mannenberg)";"296"
"2018";"Wärme";"ARA";"715";"MWh";"Egg (Oetwil Esslingen)";"192"
"2018";"Wärme";"ARA";"100";"MWh";"Fehraltorf (Russikon)";"172"
"2018";"Wärme";"ARA";"300";"MWh";"Gossau (Grüningen)";"115"
"2018";"Wärme";"ARA";"1995";"MWh";"Horgen (Oberrieden)";"295"
"2018";"Wärme";"ARA";"270";"MWh";"Knonau";"7"
"2018";"Wärme";"ARA";"1500";"MWh";"Küsnacht (Erlenbach)";"154"
"2018";"Wärme";"ARA";"904";"MWh";"Meilen";"156"
"2018";"Wärme";"ARA";"837";"MWh";"Männedorf (Bluemax)";"155"
"2018";"Wärme";"ARA";"676";"MWh";"Mönchaltorf";"196"
"2018";"Wärme";"ARA";"1247";"MWh";"Regensdorf (Wüeri)";"96"
"2018";"Wärme";"ARA";"1749";"MWh";"Thalwil";"141"
"2018";"Wärme";"ARA";"2326";"MWh";"Uster";"198"
"2018";"Wärme";"ARA";"400";"MWh";"Winterthur (Hard)";"230"
"2018";"Wärme";"ARA";"700";"MWh";"Wädenswil (Rietliau)";"293"
