"jahr";"bfsnr";"ort";"anlage";"rubrik";"thema";"subthema";"wert";"einheit"
2013;261;"Zürich";"ERZ Josefstrasse";"Wärme";"KVA";"Wärme";92895;"MWh"
2013;261;"Zürich";"ERZ Hagenholz";"Wärme";"KVA";"Wärme";403736;"MWh"
2013;230;"Winterthur";"KVA Winterthur";"Wärme";"KVA";"Wärme";141284;"MWh"
2013;243;"Dietikon";"KV Limeco";"Wärme";"KVA";"Wärme";23930;"MWh"
2013;295;"Horgen";"KVA Horgen";"Wärme";"KVA";"Wärme";48427;"MWh"
2014;117;"Hinwil";"KEZO Hinwil";"Wärme";"KVA";"Wärme";37415;"MWh"
2014;261;"Zürich";"ERZ Josefstrasse";"Wärme";"KVA";"Wärme";88274;"MWh"
2014;261;"Zürich";"ERZ Hagenholz";"Wärme";"KVA";"Wärme";420710;"MWh"
2014;230;"Winterthur";"KVA Winterthur";"Wärme";"KVA";"Wärme";116568;"MWh"
2014;243;"Dietikon";"KV Limeco";"Wärme";"KVA";"Wärme";23335;"MWh"
2014;295;"Horgen";"KVA Horgen";"Wärme";"KVA";"Wärme";39440;"MWh"
2015;117;"Hinwil";"KEZO Hinwil";"Wärme";"KVA";"Wärme";56583;"MWh"
2015;261;"Zürich";"ERZ Josefstrasse";"Wärme";"KVA";"Wärme";104237;"MWh"
2015;261;"Zürich";"ERZ Hagenholz";"Wärme";"KVA";"Wärme";434965;"MWh"
2015;230;"Winterthur";"KVA Winterthur";"Wärme";"KVA";"Wärme";147438;"MWh"
2015;243;"Dietikon";"KV Limeco";"Wärme";"KVA";"Wärme";25912;"MWh"
2015;295;"Horgen";"KVA Horgen";"Wärme";"KVA";"Wärme";38171;"MWh"
2016;117;"Hinwil";"KEZO Hinwil";"Wärme";"KVA";"Wärme";62015;"MWh"
2016;261;"Zürich";"ERZ Josefstrasse";"Wärme";"KVA";"Wärme";102088;"MWh"
2016;261;"Zürich";"ERZ Hagenholz";"Wärme";"KVA";"Wärme";427667;"MWh"
2016;230;"Winterthur";"KVA Winterthur";"Wärme";"KVA";"Wärme";175288;"MWh"
2016;243;"Dietikon";"KV Limeco";"Wärme";"KVA";"Wärme";26752;"MWh"
2016;295;"Horgen";"KVA Horgen";"Wärme";"KVA";"Wärme";37169;"MWh"
2017;117;"Hinwil";"KEZO Hinwil";"Wärme";"KVA";"Wärme";57644;"MWh"
2017;261;"Zürich";"ERZ Josefstrasse";"Wärme";"KVA";"Wärme";111946;"MWh"
2017;261;"Zürich";"ERZ Hagenholz";"Wärme";"KVA";"Wärme";420738;"MWh"
2017;230;"Winterthur";"KVA Winterthur";"Wärme";"KVA";"Wärme";171022;"MWh"
2017;243;"Dietikon";"KV Limeco";"Wärme";"KVA";"Wärme";25520;"MWh"
2017;295;"Horgen";"KVA Horgen";"Wärme";"KVA";"Wärme";40791;"MWh"
2018;117;"Hinwil";"KEZO Hinwil";"Wärme";"KVA";"Wärme";60391;"MWh"
2018;261;"Zürich";"ERZ Josefstrasse";"Wärme";"KVA";"Wärme";111272;"MWh"
2018;261;"Zürich";"ERZ Hagenholz";"Wärme";"KVA";"Wärme";419217;"MWh"
2018;230;"Winterthur";"KVA Winterthur";"Wärme";"KVA";"Wärme";167119;"MWh"
2018;243;"Dietikon";"KV Limeco";"Wärme";"KVA";"Wärme";33148;"MWh"
2018;295;"Horgen";"KVA Horgen";"Wärme";"KVA";"Wärme";38623;"MWh"
2019;117;"Hinwil";"KEZO Hinwil";"Wärme";"KVA";"Wärme";59127;"MWh"
2019;261;"Zürich";"ERZ Josefstrasse";"Wärme";"KVA";"Wärme";103598;"MWh"
2019;261;"Zürich";"ERZ Hagenholz";"Wärme";"KVA";"Wärme";450052;"MWh"
2019;230;"Winterthur";"KVA Winterthur";"Wärme";"KVA";"Wärme";182824;"MWh"
2019;243;"Dietikon";"KV Limeco";"Wärme";"KVA";"Wärme";65334;"MWh"
2019;295;"Horgen";"KVA Horgen";"Wärme";"KVA";"Wärme";41384;"MWh"
2020;117;"Hinwil";"KEZO Hinwil";"Wärme";"KVA";"Wärme";57258;"MWh"
2020;261;"Zürich";"ERZ Josefstrasse";"Wärme";"KVA";"Wärme";105065;"MWh"
2020;261;"Zürich";"ERZ Hagenholz";"Wärme";"KVA";"Wärme";444768;"MWh"
2020;230;"Winterthur";"KVA Winterthur";"Wärme";"KVA";"Wärme";184727;"MWh"
2020;243;"Dietikon";"KV Limeco";"Wärme";"KVA";"Wärme";74540;"MWh"
2020;295;"Horgen";"KVA Horgen";"Wärme";"KVA";"Wärme";43756;"MWh"
2021;117;"Hinwil";"KEZO Hinwil";"Wärme";"KVA";"Wärme";61870;"MWh"
2021;261;"Zürich";"ERZ Hagenholz";"Wärme";"KVA";"Wärme";474162;"MWh"
2021;230;"Winterthur";"KVA Winterthur";"Wärme";"KVA";"Wärme";201812;"MWh"
2021;243;"Dietikon";"KV Limeco";"Wärme";"KVA";"Wärme";99029;"MWh"
2021;295;"Horgen";"KVA Horgen";"Wärme";"KVA";"Wärme";46222;"MWh"
2022;117;"Hinwil";"KEZO Hinwil";"Wärme";"KVA";"Wärme";49212;"MWh"
2022;261;"Zürich";"ERZ Hagenholz";"Wärme";"KVA";"Wärme";417981;"MWh"
2022;230;"Winterthur";"KVA Winterthur";"Wärme";"KVA";"Wärme";178347;"MWh"
2022;243;"Dietikon";"KV Limeco";"Wärme";"KVA";"Wärme";102086;"MWh"
2022;295;"Horgen";"KVA Horgen";"Wärme";"KVA";"Wärme";43344;"MWh"
2023;230;"Winterthur";"KVA Winterthur";"Wärme";"KVA";"Wärme";170126;"MWh"
2023;243;"Dietikon";"KV Limeco";"Wärme";"KVA";"Wärme";116244;"MWh"
2023;261;"Zürich";"ERZ Hagenholz";"Wärme";"KVA";"Wärme";388218;"MWh"
2023;117;"Hinwil";"KEZO Hinwil";"Wärme";"KVA";"Wärme";50079.7356;"MWh"
2023;295;"Horgen";"KVA Horgen";"Wärme";"KVA";"Wärme";41980;"MWh"
