"jahr";"ort";"rubrik";"thema";"wert";"einheit"
2007;"Kanton ZH";"Grüngut";"Holz";NA;"MWh"
2008;"Kanton ZH";"Grüngut";"Abwärme";4300;"MWh"
2008;"Kanton ZH";"Grüngut";"Strom";7300;"MWh"
2008;"Kanton ZH";"Grüngut";"Biogas";8900;"MWh"
2008;"Kanton ZH";"Grüngut";"Holz";11000;"MWh"
2009;"Kanton ZH";"Grüngut";"Abwärme";5000;"MWh"
2009;"Kanton ZH";"Grüngut";"Strom";13100;"MWh"
2009;"Kanton ZH";"Grüngut";"Biogas";1500;"MWh"
2009;"Kanton ZH";"Grüngut";"Holz";11000;"MWh"
2010;"Kanton ZH";"Grüngut";"Abwärme";7000;"MWh"
2010;"Kanton ZH";"Grüngut";"Strom";14300;"MWh"
2010;"Kanton ZH";"Grüngut";"Biogas";3700;"MWh"
2010;"Kanton ZH";"Grüngut";"Holz";14000;"MWh"
2011;"Kanton ZH";"Grüngut";"Abwärme";7000;"MWh"
2011;"Kanton ZH";"Grüngut";"Strom";13960;"MWh"
2011;"Kanton ZH";"Grüngut";"Biogas";9800;"MWh"
2011;"Kanton ZH";"Grüngut";"Holz";19900;"MWh"
2012;"Kanton ZH";"Grüngut";"Abwärme";7000;"MWh"
2012;"Kanton ZH";"Grüngut";"Strom";13300;"MWh"
2012;"Kanton ZH";"Grüngut";"Biogas";11000;"MWh"
2012;"Kanton ZH";"Grüngut";"Holz";21900;"MWh"
2013;"Kanton ZH";"Grüngut";"Abwärme";10000;"MWh"
2013;"Kanton ZH";"Grüngut";"Strom";12300;"MWh"
2013;"Kanton ZH";"Grüngut";"Biogas";14400;"MWh"
2013;"Kanton ZH";"Grüngut";"Holz";23000;"MWh"
2014;"Kanton ZH";"Grüngut";"Abwärme";10000;"MWh"
2014;"Kanton ZH";"Grüngut";"Strom";12200;"MWh"
2014;"Kanton ZH";"Grüngut";"Biogas";21700;"MWh"
2014;"Kanton ZH";"Grüngut";"Holz";30000;"MWh"
2015;"Kanton ZH";"Grüngut";"Abwärme";3000;"MWh"
2015;"Kanton ZH";"Grüngut";"Strom";12400;"MWh"
2015;"Kanton ZH";"Grüngut";"Biogas";31400;"MWh"
2015;"Kanton ZH";"Grüngut";"Holz";33000;"MWh"
2016;"Kanton ZH";"Grüngut";"Abwärme";5000;"MWh"
2016;"Kanton ZH";"Grüngut";"Strom";12000;"MWh"
2016;"Kanton ZH";"Grüngut";"Biogas";34500;"MWh"
2016;"Kanton ZH";"Grüngut";"Holz";36000;"MWh"
2017;"Kanton ZH";"Grüngut";"Abwärme";5000;"MWh"
2017;"Kanton ZH";"Grüngut";"Strom";11700;"MWh"
2017;"Kanton ZH";"Grüngut";"Biogas";37900;"MWh"
2017;"Kanton ZH";"Grüngut";"Holz";37000;"MWh"
2018;"Kanton ZH";"Grüngut";"Abwärme";5000;"MWh"
2018;"Kanton ZH";"Grüngut";"Strom";15800;"MWh"
2018;"Kanton ZH";"Grüngut";"Biogas";36500;"MWh"
2018;"Kanton ZH";"Grüngut";"Holz";37000;"MWh"
2019;"Kanton ZH";"Grüngut";"Abwärme";6000;"MWh"
2019;"Kanton ZH";"Grüngut";"Strom";16000;"MWh"
2019;"Kanton ZH";"Grüngut";"Biogas";43000;"MWh"
2019;"Kanton ZH";"Grüngut";"Holz";37000;"MWh"
2020;"Kanton ZH";"Grüngut";"Abwärme";5200;"MWh"
2020;"Kanton ZH";"Grüngut";"Strom";15000;"MWh"
2020;"Kanton ZH";"Grüngut";"Biogas";46100;"MWh"
2020;"Kanton ZH";"Grüngut";"Holz";37000;"MWh"
2021;"Kanton ZH";"Grüngut";"Abwärme";7000;"MWh"
2021;"Kanton ZH";"Grüngut";"Strom";15000;"MWh"
2021;"Kanton ZH";"Grüngut";"Biogas";47100;"MWh"
2021;"Kanton ZH";"Grüngut";"Holz";40000;"MWh"
2022;"Kanton ZH";"Grüngut";"Abwärme";9000;"MWh"
2022;"Kanton ZH";"Grüngut";"Strom";15000;"MWh"
2022;"Kanton ZH";"Grüngut";"Biogas";47000;"MWh"
2022;"Kanton ZH";"Grüngut";"Holz";37000;"MWh"
2023;"Kanton ZH";"Grüngut";"Abwärme";8000;"MWh"
2023;"Kanton ZH";"Grüngut";"Strom";25000;"MWh"
2023;"Kanton ZH";"Grüngut";"Biogas";47500;"MWh"
2023;"Kanton ZH";"Grüngut";"Holz";37000;"MWh"
