bfsakt,gemakt,einheit,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
181,Wila,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Wildberg,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Dübendorf,MWh,173108,173105,186581,164220,192013,207390,221434,208078,225748,238727,212190,213544,214041,230171,219517,225809,213997,208702,184835,113383,156651
192,Egg,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1839,3965,4377,4607
193,Fällanden,MWh,35772,35816,36930,30887,37168,38964,39219,37468,36296,39870,36092,37071,38702,42646,40940,42131,42559,48272,44398,38322,38822
194,Greifensee,MWh,23558,24842,24897,19395,22892,15916,16462,15614,18294,17957,15795,11003,13580,18514,15152,16304,13706,16884,10225,4017,14379
195,Maur,MWh,8839,8282,8966,7314,8063,8432,8174,8974,9126,11006,9544,10554,11452,13721,11081,11290,13335,13362,14268,12740,12595
196,Mönchaltorf,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,1506,2434,2451,2047,2210
197,Schwerzenbach,MWh,21767,19934,24739,21907,30638,26287,26284,27822,31123,33856,31268,29943,29042,29656,30944,30455,32387,35493,33114,29176,27790
198,Uster,MWh,199914,200659,216739,171956,205373,198092,212857,195114,205859,223095,199181,203360,206473,226722,215956,229532,215684,246288,208037,181200,180500
199,Volketswil,MWh,104913,102664,109192,95857,110057,108805,111622,110800,121532,128372,121602,114341,116846,124741,124083,129945,123325,127316,131965,105064,112221
200,Wangen-Brüttisellen,MWh,0,0,0,22186,25541,26584,26125,24540,25875,30367,20242,17360,31563,31641,30733,31391,31328,38405,34749,29533,30600
211,Altikon,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Brütten,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Dägerlen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Dättlikon,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Dinhard,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Ellikon a.d.Th.,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Elsau,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Hagenbuch,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Hettlingen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Neftenbach,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Pfungen,MWh,5743,6131,6000,5278,6641,7288,7725,6987,8111,8538,8041,9141,10105,10517,10038,10038,10818,12258,10242,6459,10360
225,Rickenbach,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Schlatt,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Seuzach,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,1883,3604,2867,3683
228,Turbenthal,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Winterthur,MWh,439018,456110,449900,385569,426000,488889,523354,475803,478337,505856,466125,446688,447325,454112,421551,433278,431321,486838,392865,347730,345248
231,Zell,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Aesch,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Birmensdorf,MWh,10162,13160,14971,12622,8863,10807,10351,14415,11549,13283,14130,14144,13799,18128,20491,15354,18055,8784,16203,11152,13198
243,Dietikon,MWh,81157,78677,83587,68858,80536,80374,83661,77674,80103,87502,78190,78496,80581,87711,82639,81545,78774,89576,90046,67531,71738
244,Geroldswil,MWh,15053,14869,15419,11877,14029,13555,12778,13574,14365,16047,14534,14311,14541,24168,17218,11955,11250,11808,12061,7416,7207
