"jahr";"ort";"bfsnr";"rubrik";"thema";"wert";"einheit"
1990;"Bonstetten";3;"Strom";"PV";0;"kW"
1990;"Bonstetten";3;"Strom";"PV";0;"MWh"
1990;"Bonstetten";3;"Strom";"PV";0;"Anzahl"
1991;"Bonstetten";3;"Strom";"PV";0;"kW"
1991;"Bonstetten";3;"Strom";"PV";0;"MWh"
1991;"Bonstetten";3;"Strom";"PV";0;"Anzahl"
1992;"Bonstetten";3;"Strom";"PV";0;"kW"
1992;"Bonstetten";3;"Strom";"PV";0;"MWh"
1992;"Bonstetten";3;"Strom";"PV";0;"Anzahl"
1993;"Bonstetten";3;"Strom";"PV";0;"kW"
1993;"Bonstetten";3;"Strom";"PV";0;"MWh"
1993;"Bonstetten";3;"Strom";"PV";0;"Anzahl"
1994;"Bonstetten";3;"Strom";"PV";10;"kW"
1994;"Bonstetten";3;"Strom";"PV";10;"MWh"
1994;"Bonstetten";3;"Strom";"PV";1;"Anzahl"
1995;"Bonstetten";3;"Strom";"PV";10;"kW"
1995;"Bonstetten";3;"Strom";"PV";10;"MWh"
1995;"Bonstetten";3;"Strom";"PV";1;"Anzahl"
1996;"Bonstetten";3;"Strom";"PV";10;"kW"
1996;"Bonstetten";3;"Strom";"PV";10;"MWh"
1996;"Bonstetten";3;"Strom";"PV";1;"Anzahl"
1997;"Bonstetten";3;"Strom";"PV";10;"kW"
1997;"Bonstetten";3;"Strom";"PV";10;"MWh"
1997;"Bonstetten";3;"Strom";"PV";1;"Anzahl"
1998;"Bonstetten";3;"Strom";"PV";10;"kW"
1998;"Bonstetten";3;"Strom";"PV";10;"MWh"
1998;"Bonstetten";3;"Strom";"PV";1;"Anzahl"
1999;"Bonstetten";3;"Strom";"PV";10;"kW"
1999;"Bonstetten";3;"Strom";"PV";10;"MWh"
1999;"Bonstetten";3;"Strom";"PV";1;"Anzahl"
2000;"Bonstetten";3;"Strom";"PV";10;"kW"
2000;"Bonstetten";3;"Strom";"PV";10;"MWh"
2000;"Bonstetten";3;"Strom";"PV";1;"Anzahl"
2001;"Bonstetten";3;"Strom";"PV";10;"kW"
2001;"Bonstetten";3;"Strom";"PV";10;"MWh"
2001;"Bonstetten";3;"Strom";"PV";1;"Anzahl"
2002;"Bonstetten";3;"Strom";"PV";10;"kW"
2002;"Bonstetten";3;"Strom";"PV";10;"MWh"
2002;"Bonstetten";3;"Strom";"PV";1;"Anzahl"
2003;"Bonstetten";3;"Strom";"PV";10;"kW"
2003;"Bonstetten";3;"Strom";"PV";10;"MWh"
2003;"Bonstetten";3;"Strom";"PV";1;"Anzahl"
2004;"Bonstetten";3;"Strom";"PV";10;"kW"
2004;"Bonstetten";3;"Strom";"PV";10;"MWh"
2004;"Bonstetten";3;"Strom";"PV";1;"Anzahl"
2005;"Bonstetten";3;"Strom";"PV";14.8;"kW"
2005;"Bonstetten";3;"Strom";"PV";14.8;"MWh"
2005;"Bonstetten";3;"Strom";"PV";2;"Anzahl"
2006;"Bonstetten";3;"Strom";"PV";23.3;"kW"
2006;"Bonstetten";3;"Strom";"PV";23.3;"MWh"
2006;"Bonstetten";3;"Strom";"PV";3;"Anzahl"
2007;"Bonstetten";3;"Strom";"PV";23.3;"kW"
2007;"Bonstetten";3;"Strom";"PV";23.3;"MWh"
2007;"Bonstetten";3;"Strom";"PV";3;"Anzahl"
2008;"Bonstetten";3;"Strom";"PV";23.3;"kW"
2008;"Bonstetten";3;"Strom";"PV";23.3;"MWh"
2008;"Bonstetten";3;"Strom";"PV";3;"Anzahl"
2009;"Bonstetten";3;"Strom";"PV";40.699999999999996;"kW"
2009;"Bonstetten";3;"Strom";"PV";40.699999999999996;"MWh"
2009;"Bonstetten";3;"Strom";"PV";6;"Anzahl"
2010;"Bonstetten";3;"Strom";"PV";40.699999999999996;"kW"
2010;"Bonstetten";3;"Strom";"PV";40.699999999999996;"MWh"
2010;"Bonstetten";3;"Strom";"PV";6;"Anzahl"
2011;"Bonstetten";3;"Strom";"PV";184.51;"kW"
2011;"Bonstetten";3;"Strom";"PV";184.51;"MWh"
2011;"Bonstetten";3;"Strom";"PV";13;"Anzahl"
2012;"Bonstetten";3;"Strom";"PV";264.33;"kW"
2012;"Bonstetten";3;"Strom";"PV";264.33;"MWh"
2012;"Bonstetten";3;"Strom";"PV";17;"Anzahl"
2013;"Bonstetten";3;"Strom";"PV";409.98;"kW"
2013;"Bonstetten";3;"Strom";"PV";409.98;"MWh"
2013;"Bonstetten";3;"Strom";"PV";24;"Anzahl"
2014;"Bonstetten";3;"Strom";"PV";704.85;"kW"
2014;"Bonstetten";3;"Strom";"PV";704.85;"MWh"
2014;"Bonstetten";3;"Strom";"PV";30;"Anzahl"
2015;"Bonstetten";3;"Strom";"PV";842.2;"kW"
2015;"Bonstetten";3;"Strom";"PV";842.2;"MWh"
2015;"Bonstetten";3;"Strom";"PV";36;"Anzahl"
2016;"Bonstetten";3;"Strom";"PV";862.2;"kW"
2016;"Bonstetten";3;"Strom";"PV";862.2;"MWh"
2016;"Bonstetten";3;"Strom";"PV";39;"Anzahl"
2017;"Bonstetten";3;"Strom";"PV";922.81;"kW"
2017;"Bonstetten";3;"Strom";"PV";922.81;"MWh"
2017;"Bonstetten";3;"Strom";"PV";44;"Anzahl"
2018;"Bonstetten";3;"Strom";"PV";956.57;"kW"
2018;"Bonstetten";3;"Strom";"PV";956.57;"MWh"
2018;"Bonstetten";3;"Strom";"PV";47;"Anzahl"
2019;"Bonstetten";3;"Strom";"PV";1010.56;"kW"
2019;"Bonstetten";3;"Strom";"PV";1010.56;"MWh"
2019;"Bonstetten";3;"Strom";"PV";53;"Anzahl"
2020;"Bonstetten";3;"Strom";"PV";1048.97;"kW"
2020;"Bonstetten";3;"Strom";"PV";1048.97;"MWh"
2020;"Bonstetten";3;"Strom";"PV";57;"Anzahl"
2021;"Bonstetten";3;"Strom";"PV";1201.92;"kW"
2021;"Bonstetten";3;"Strom";"PV";1201.92;"MWh"
2021;"Bonstetten";3;"Strom";"PV";68;"Anzahl"
2022;"Bonstetten";3;"Strom";"PV";1477.98;"kW"
2022;"Bonstetten";3;"Strom";"PV";1477.98;"MWh"
2022;"Bonstetten";3;"Strom";"PV";82;"Anzahl"
2023;"Bonstetten";3;"Strom";"PV";1811.64;"kW"
2023;"Bonstetten";3;"Strom";"PV";1811.64;"MWh"
2023;"Bonstetten";3;"Strom";"PV";107;"Anzahl"
2024;"Bonstetten";3;"Strom";"PV";2179.27;"kW"
2024;"Bonstetten";3;"Strom";"PV";2179.27;"MWh"
2024;"Bonstetten";3;"Strom";"PV";132;"Anzahl"
2025;"Bonstetten";3;"Strom";"PV";2354.5;"kW"
2025;"Bonstetten";3;"Strom";"PV";2354.5;"MWh"
