"Jahr","Rubrik","Energietraeger","TJ","Einheit","Einheit_lang","Ort"
2001,"Endverbrauch - Verkehr","Erdölprodukte",285870,"TJ","Terra Joule","Kanton ZH"
2002,"Endverbrauch - Verkehr","Erdölprodukte",279810,"TJ","Terra Joule","Kanton ZH"
2003,"Endverbrauch - Verkehr","Erdölprodukte",276640,"TJ","Terra Joule","Kanton ZH"
2004,"Endverbrauch - Verkehr","Erdölprodukte",275420,"TJ","Terra Joule","Kanton ZH"
2005,"Endverbrauch - Verkehr","Erdölprodukte",277500,"TJ","Terra Joule","Kanton ZH"
2006,"Endverbrauch - Verkehr","Erdölprodukte",281300,"TJ","Terra Joule","Kanton ZH"
2007,"Endverbrauch - Verkehr","Erdölprodukte",289330,"TJ","Terra Joule","Kanton ZH"
2008,"Endverbrauch - Verkehr","Erdölprodukte",298420,"TJ","Terra Joule","Kanton ZH"
2009,"Endverbrauch - Verkehr","Erdölprodukte",293450,"TJ","Terra Joule","Kanton ZH"
2010,"Endverbrauch - Verkehr","Erdölprodukte",295080,"TJ","Terra Joule","Kanton ZH"
2011,"Endverbrauch - Verkehr","Erdölprodukte",296590,"TJ","Terra Joule","Kanton ZH"
2012,"Endverbrauch - Verkehr","Erdölprodukte",299850,"TJ","Terra Joule","Kanton ZH"
2013,"Endverbrauch - Verkehr","Erdölprodukte",299770,"TJ","Terra Joule","Kanton ZH"
2014,"Endverbrauch - Verkehr","Erdölprodukte",298260,"TJ","Terra Joule","Kanton ZH"
2015,"Endverbrauch - Verkehr","Erdölprodukte",290530,"TJ","Terra Joule","Kanton ZH"
2016,"Endverbrauch - Verkehr","Erdölprodukte",291820,"TJ","Terra Joule","Kanton ZH"
2017,"Endverbrauch - Verkehr","Erdölprodukte",290100,"TJ","Terra Joule","Kanton ZH"
2018,"Endverbrauch - Verkehr","Erdölprodukte",294300,"TJ","Terra Joule","Kanton ZH"
2019,"Endverbrauch - Verkehr","Erdölprodukte",294360,"TJ","Terra Joule","Kanton ZH"
2020,"Endverbrauch - Verkehr","Erdölprodukte",226720,"TJ","Terra Joule","Kanton ZH"
2021,"Endverbrauch - Verkehr","Erdölprodukte",233210,"TJ","Terra Joule","Kanton ZH"
2022,"Endverbrauch - Verkehr","Erdölprodukte",256310,"TJ","Terra Joule","Kanton ZH"
2023,"Endverbrauch - Verkehr","Erdölprodukte",268250,"TJ","Terra Joule","Kanton ZH"
1990,"Endverbrauch - Verkehr","Elektrizität",9270,"TJ","Terra Joule","Kanton ZH"
1991,"Endverbrauch - Verkehr","Elektrizität",9090,"TJ","Terra Joule","Kanton ZH"
1992,"Endverbrauch - Verkehr","Elektrizität",9120,"TJ","Terra Joule","Kanton ZH"
1993,"Endverbrauch - Verkehr","Elektrizität",8850,"TJ","Terra Joule","Kanton ZH"
1994,"Endverbrauch - Verkehr","Elektrizität",8780,"TJ","Terra Joule","Kanton ZH"
1995,"Endverbrauch - Verkehr","Elektrizität",8760,"TJ","Terra Joule","Kanton ZH"
1996,"Endverbrauch - Verkehr","Elektrizität",8630,"TJ","Terra Joule","Kanton ZH"
1997,"Endverbrauch - Verkehr","Elektrizität",8680,"TJ","Terra Joule","Kanton ZH"
1998,"Endverbrauch - Verkehr","Elektrizität",8920,"TJ","Terra Joule","Kanton ZH"
1999,"Endverbrauch - Verkehr","Elektrizität",9170,"TJ","Terra Joule","Kanton ZH"
2000,"Endverbrauch - Verkehr","Elektrizität",10340,"TJ","Terra Joule","Kanton ZH"
2001,"Endverbrauch - Verkehr","Elektrizität",10540,"TJ","Terra Joule","Kanton ZH"
2002,"Endverbrauch - Verkehr","Elektrizität",10900,"TJ","Terra Joule","Kanton ZH"
2003,"Endverbrauch - Verkehr","Elektrizität",11560,"TJ","Terra Joule","Kanton ZH"
2004,"Endverbrauch - Verkehr","Elektrizität",11400,"TJ","Terra Joule","Kanton ZH"
2005,"Endverbrauch - Verkehr","Elektrizität",11550,"TJ","Terra Joule","Kanton ZH"
2006,"Endverbrauch - Verkehr","Elektrizität",11940,"TJ","Terra Joule","Kanton ZH"
2007,"Endverbrauch - Verkehr","Elektrizität",11880,"TJ","Terra Joule","Kanton ZH"
2008,"Endverbrauch - Verkehr","Elektrizität",12110,"TJ","Terra Joule","Kanton ZH"
2009,"Endverbrauch - Verkehr","Elektrizität",11830,"TJ","Terra Joule","Kanton ZH"
2010,"Endverbrauch - Verkehr","Elektrizität",12190,"TJ","Terra Joule","Kanton ZH"
2011,"Endverbrauch - Verkehr","Elektrizität",11880,"TJ","Terra Joule","Kanton ZH"
2012,"Endverbrauch - Verkehr","Elektrizität",12040,"TJ","Terra Joule","Kanton ZH"
2013,"Endverbrauch - Verkehr","Elektrizität",12180,"TJ","Terra Joule","Kanton ZH"
2014,"Endverbrauch - Verkehr","Elektrizität",11930,"TJ","Terra Joule","Kanton ZH"
2015,"Endverbrauch - Verkehr","Elektrizität",12210,"TJ","Terra Joule","Kanton ZH"
2016,"Endverbrauch - Verkehr","Elektrizität",12490,"TJ","Terra Joule","Kanton ZH"
2017,"Endverbrauch - Verkehr","Elektrizität",12350,"TJ","Terra Joule","Kanton ZH"
2018,"Endverbrauch - Verkehr","Elektrizität",12250,"TJ","Terra Joule","Kanton ZH"
2019,"Endverbrauch - Verkehr","Elektrizität",12180,"TJ","Terra Joule","Kanton ZH"
2020,"Endverbrauch - Verkehr","Elektrizität",11440,"TJ","Terra Joule","Kanton ZH"
2021,"Endverbrauch - Verkehr","Elektrizität",12210,"TJ","Terra Joule","Kanton ZH"
2022,"Endverbrauch - Verkehr","Elektrizität",13080,"TJ","Terra Joule","Kanton ZH"
2023,"Endverbrauch - Verkehr","Elektrizität",13690,"TJ","Terra Joule","Kanton ZH"
1990,"Endverbrauch - Verkehr","Gas",560,"TJ","Terra Joule","Kanton ZH"
1991,"Endverbrauch - Verkehr","Gas",460,"TJ","Terra Joule","Kanton ZH"
1992,"Endverbrauch - Verkehr","Gas",510,"TJ","Terra Joule","Kanton ZH"
1993,"Endverbrauch - Verkehr","Gas",510,"TJ","Terra Joule","Kanton ZH"
1994,"Endverbrauch - Verkehr","Gas",390,"TJ","Terra Joule","Kanton ZH"
1995,"Endverbrauch - Verkehr","Gas",310,"TJ","Terra Joule","Kanton ZH"
1996,"Endverbrauch - Verkehr","Gas",330,"TJ","Terra Joule","Kanton ZH"
1997,"Endverbrauch - Verkehr","Gas",330,"TJ","Terra Joule","Kanton ZH"
1998,"Endverbrauch - Verkehr","Gas",270,"TJ","Terra Joule","Kanton ZH"
1999,"Endverbrauch - Verkehr","Gas",300,"TJ","Terra Joule","Kanton ZH"
2000,"Endverbrauch - Verkehr","Gas",340,"TJ","Terra Joule","Kanton ZH"
2001,"Endverbrauch - Verkehr","Gas",360,"TJ","Terra Joule","Kanton ZH"
2002,"Endverbrauch - Verkehr","Gas",1210,"TJ","Terra Joule","Kanton ZH"
2003,"Endverbrauch - Verkehr","Gas",1150,"TJ","Terra Joule","Kanton ZH"
2004,"Endverbrauch - Verkehr","Gas",1230,"TJ","Terra Joule","Kanton ZH"
2005,"Endverbrauch - Verkehr","Gas",1160,"TJ","Terra Joule","Kanton ZH"
2006,"Endverbrauch - Verkehr","Gas",1820,"TJ","Terra Joule","Kanton ZH"
2007,"Endverbrauch - Verkehr","Gas",1740,"TJ","Terra Joule","Kanton ZH"
2008,"Endverbrauch - Verkehr","Gas",1930,"TJ","Terra Joule","Kanton ZH"
2009,"Endverbrauch - Verkehr","Gas",1550,"TJ","Terra Joule","Kanton ZH"
2010,"Endverbrauch - Verkehr","Gas",1540,"TJ","Terra Joule","Kanton ZH"
2011,"Endverbrauch - Verkehr","Gas",1540,"TJ","Terra Joule","Kanton ZH"
2012,"Endverbrauch - Verkehr","Gas",1490,"TJ","Terra Joule","Kanton ZH"
2013,"Endverbrauch - Verkehr","Gas",1110,"TJ","Terra Joule","Kanton ZH"
2014,"Endverbrauch - Verkehr","Gas",1500,"TJ","Terra Joule","Kanton ZH"
2015,"Endverbrauch - Verkehr","Gas",1390,"TJ","Terra Joule","Kanton ZH"
2016,"Endverbrauch - Verkehr","Gas",940,"TJ","Terra Joule","Kanton ZH"
2017,"Endverbrauch - Verkehr","Gas",1040,"TJ","Terra Joule","Kanton ZH"
2018,"Endverbrauch - Verkehr","Gas",1080,"TJ","Terra Joule","Kanton ZH"
2019,"Endverbrauch - Verkehr","Gas",1180,"TJ","Terra Joule","Kanton ZH"
2020,"Endverbrauch - Verkehr","Gas",1120,"TJ","Terra Joule","Kanton ZH"
