"jahr";"ort";"bfsnr";"anlage";"rubrik";"thema";"wert";"einheit"
2022;"Volketswil";199;"Gutenswil";"Wärme";"Biogene Abfälle";"665.418";"MWh"
2022;"Wädenswil";293;"Wädenswil";"Wärme";"Biogene Abfälle";"1352.268";"MWh"
2023;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"11464.41";"MWh"
2023;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"13277.009999999998";"MWh"
2023;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7102.7699999999995";"MWh"
2023;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"8429.73";"MWh"
2023;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6893.579999999999";"MWh"
2023;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"12209.4";"MWh"
2023;"Winterthur";230;"Winterthur";"Wärme";"Biogene Abfälle";"13405.259999999998";"MWh"
2023;"Zürich";261;"Zürich";"Wärme";"Biogene Abfälle";"18616.199999999997";"MWh"
2023;"Küsnacht (ZH)";154;"Küsnacht BEZAG";"Wärme";"Biogene Abfälle";"2260.7339999999999";"MWh"
2023;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"4312.7340000000004";"MWh"
2023;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"461.7";"MWh"
2023;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"7256.5559999999987";"MWh"
2023;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"1804.1639999999998";"MWh"
2023;"Affoltern am Albis";1;"Affoltern, Zwillikon";"Wärme";"Biogene Abfälle";"1188.336";"MWh"
2023;"Volketswil";199;"Gutenswil";"Wärme";"Biogene Abfälle";"668.38199999999983";"MWh"
2023;"Wädenswil";293;"Wädenswil";"Wärme";"Biogene Abfälle";"1460.796";"MWh"
