gbs_id,datum_verfuegung
b 00-10385,19.05.2009
b 00-10386,26.05.2009
b 00-10387,04.06.2009
b 00-10388,17.06.2009
b 00-10389,03.07.2009
b 00-10390,07.07.2009
b 00-10391,06.07.2009
b 00-10392,10.07.2009
b 00-10393,11.08.2009
b 00-10394,16.07.2009
b 00-10395,20.07.2009
b 00-10396,20.07.2009
b 00-10397,20.07.2009
b 00-10398,20.07.2009
b 00-10399,20.07.2009
b 00-10400,27.07.2009
b 00-10401,27.07.2009
b 00-10402,28.07.2009
b 00-10403,14.08.2009
b 00-10404,14.08.2009
b 00-10405,14.08.2009
b 00-10406,10.08.2009
b 00-10407,17.08.2009
b 00-10408,18.08.2009
b 00-10409,18.08.2009
b 00-10410,20.08.2009
b 00-10411,24.08.2009
b 00-10412,28.08.2009
b 00-10413,31.08.2009
b 00-10414,01.09.2009
b 00-10415,01.09.2009
b 00-10416,03.09.2009
b 00-10417,01.09.2009
b 00-10418,01.09.2009
b 00-10419,01.09.2009
b 00-10420,01.09.2009
b 00-10421,07.09.2009
b 00-10422,09.09.2009
b 00-10423,05.10.2009
b 00-10424,19.10.2009
b 00-10425,28.10.2009
b 00-10426,02.11.2009
b 00-10427,04.11.2009
b 00-10428,04.11.2009
b 00-10429,12.11.2009
b 00-10430,16.11.2009
b 00-10431,17.11.2009
b 00-10432,24.11.2009
b 00-10433,25.11.2009
b 00-10434,03.12.2009
b 00-10435,10.12.2009
b 00-10436,11.12.2009
b 00-10437,14.12.2009
b 00-10438,18.12.2009
b 00-10439,08.01.2010
b 00-10440,12.01.2010
b 00-10441,18.01.2010
b 00-10442,18.01.2010
b 00-10443,18.01.2010
b 00-10444,18.01.2010
b 00-10445,21.01.2010
b 00-10446,21.01.2010
b 00-10447,25.01.2010
b 00-10448,25.01.2010
b 00-10449,26.01.2010
b 00-10450,26.01.2010
b 00-10451,27.01.2010
b 00-10452,01.02.2010
b 00-10453,04.02.2010
b 00-10454,05.02.2010
b 00-10455,09.02.2010
b 00-10456,09.02.2010
b 00-10457,09.02.2010
b 00-10458,09.02.2010
b 00-10459,09.02.2010
b 00-10460,10.02.2010
b 00-10461,16.02.2010
b 00-10462,02.03.2010
b 00-10463,02.03.2010
b 00-10464,02.03.2010
b 00-10465,09.03.2010
b 00-10466,09.03.2010
b 00-10467,11.03.2010
b 00-10468,11.03.2010
b 00-10469,11.03.2010
b 00-10470,12.03.2010
b 00-10471,18.03.2010
b 00-10472,22.03.2010
b 00-10473,24.03.2010
b 00-10474,26.03.2010
b 00-10475,07.04.2010
b 00-10476,07.04.2010
b 00-10477,09.04.2010
b 00-10478,12.04.2010
b 00-10479,19.04.2010
b 00-10480,22.04.2010
b 00-10481,22.04.2010
b 00-10482,26.04.2010
b 00-10483,27.04.2010
b 00-10484,04.05.2010
b 00-10485,04.05.2010
b 00-10486,18.05.2010
b 00-10487,17.05.2010
b 00-10488,25.05.2010
b 00-10489,25.05.2010
b 00-10490,26.05.2010
b 00-10491,26.05.2010
b 00-10492,28.05.2010
b 00-10493,31.05.2010
b 00-10494,31.05.2010
b 00-10495,03.06.2010
b 00-10496,03.06.2010
b 00-10497,09.06.2010
b 00-10498,09.06.2010
b 00-10499,10.06.2010
b 00-10500,10.06.2010
b 00-10501,10.06.2010
b 00-10502,14.06.2010
b 00-10503,14.06.2010
b 00-10504,17.06.2010
b 00-10505,22.06.2010
b 00-10506,24.06.2010
b 00-10507,24.06.2010
b 00-10508,28.06.2010
b 00-10509,28.06.2010
b 00-10510,28.06.2010
b 00-10511,28.06.2010
b 00-10512,28.06.2010
b 00-10513,28.06.2010
b 00-10514,28.06.2010
b 00-10515,28.06.2010
b 00-10516,29.07.2010
b 00-10517,30.07.2010
b 00-10518,30.07.2010
b 00-10519,03.08.2010
b 00-10520,04.08.2010
b 00-10521,05.08.2010
b 00-10522,05.08.2010
b 00-10523,31.08.2010
b 00-10524,10.08.2010
b 00-10525,10.08.2010
b 00-10526,11.08.2010
b 00-10527,11.08.2010
b 00-10528,13.08.2010
b 00-10529,17.08.2010
b 00-10530,18.08.2010
b 00-10531,23.08.2010
b 00-10532,31.08.2010
b 00-10533,21.09.2010
b 00-10534,14.09.2010
b 00-10535,14.09.2010
b 00-10536,21.09.2010
b 00-10537,22.09.2010
b 00-10538,28.09.2010
b 00-10539,30.09.2010
b 00-10540,18.11.2010
b 00-10541,11.10.2010
b 00-10542,12.10.2010
b 00-10543,13.10.2010
b 00-10544,14.10.2010
b 00-10545,18.10.2010
